id,coder,sample,variable,text,name
668,Coder 1,1,pd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Personal discrimination
668,Coder 1,1,gd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Group discrimination
668,Coder 1,1,oa,"For assessing the attitude toward the Dutch the dataset contained stereotypical traits. The participants were asked to indicate whether the native Dutch were honest, polite, helpful, pleasant, hospitable, neat, tolerant, and friendly.2 Responses were given by using 4-point Likert scales, ranging from very much (score 1) to not at all (score 4).",Outgroup attitudes
668,Coder 1,2,cq,"Quantity and quality of intergroup contact was measured with two items that indicate voluntary contact in one’s private life. One item asked how often native Dutch neighbors or friends visit the participant in his or her home, and the other item asked about how frequently they interact with Dutch people in their free time. In the SPVA survey, the answer categories were never (score 1), sometimes (score 2), and often (score 3). The two items formed a reliable scale (Cronbach’s α = 0.83) and the α was similar for the four ethnic groups.",Contact quantity
668,Coder 1,2,pd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Personal discrimination
668,Coder 1,2,gd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Group discrimination
668,Coder 1,2,oa,"For assessing the attitude toward the Dutch the dataset contained stereotypical traits. The participants were asked to indicate whether the native Dutch were honest, polite, helpful, pleasant, hospitable, neat, tolerant, and friendly.2 Responses were given by using 4-point Likert scales, ranging from very much (score 1) to not at all (score 4).",Outgroup attitudes
668,Coder 1,3,cq,"Quantity and quality of intergroup contact was measured with two items that indicate voluntary contact in one’s private life. One item asked how often native Dutch neighbors or friends visit the participant in his or her home, and the other item asked about how frequently they interact with Dutch people in their free time. In the SPVA survey, the answer categories were never (score 1), sometimes (score 2), and often (score 3). The two items formed a reliable scale (Cronbach’s α = 0.83) and the α was similar for the four ethnic groups.",Contact quantity
668,Coder 1,3,pd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Personal discrimination
668,Coder 1,3,gd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Group discrimination
668,Coder 1,3,oa,"For assessing the attitude toward the Dutch the dataset contained stereotypical traits. The participants were asked to indicate whether the native Dutch were honest, polite, helpful, pleasant, hospitable, neat, tolerant, and friendly.2 Responses were given by using 4-point Likert scales, ranging from very much (score 1) to not at all (score 4).",Outgroup attitudes
668,Coder 1,4,cq,"Quantity and quality of intergroup contact was measured with two items that indicate voluntary contact in one’s private life. One item asked how often native Dutch neighbors or friends visit the participant in his or her home, and the other item asked about how frequently they interact with Dutch people in their free time. In the SPVA survey, the answer categories were never (score 1), sometimes (score 2), and often (score 3). The two items formed a reliable scale (Cronbach’s α = 0.83) and the α was similar for the four ethnic groups.",Contact quantity
668,Coder 1,4,pd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Personal discrimination
668,Coder 1,4,gd,"Perceived group discrimination was measured by asking the participants whether they think people from their ethnic group are discriminated against by the Dutch. Perceived personal discrimination was measured by asking whether the participant had ever felt personally discriminated against. The answer categories ranged from never (score 1) to very often (score 5). The correlation between the two items is moderate (r = .49; similar correlations for the four ethnic groups), which means that they can be included separately in the analysis. Additionally, factor analysis indicated that the two discrimination questions did not load highly (< .25) on the “perceived acceptance” scale.",Group discrimination
668,Coder 1,4,oa,"For assessing the attitude toward the Dutch the dataset contained stereotypical traits. The participants were asked to indicate whether the native Dutch were honest, polite, helpful, pleasant, hospitable, neat, tolerant, and friendly.2 Responses were given by using 4-point Likert scales, ranging from very much (score 1) to not at all (score 4).",Outgroup attitudes
703,Coder 1,1,cf,"Social contacts questionnaire (Rowley, 1999). This scale examined the number of African American and European American peers the child had. It was adapted from a similar scale by Wegner and Shelton (1995). This 10-item scale asked students to use a 4-point scale (a  0,b 1–2,c 3–4,d 5 or more) to indicate how many Black or White friends they have. An example item is, “How many close Black/White friends do you have?” The average of the 5 items related to Black friends was computed to create the Black friends score, and the average of the 5 items related to White friends was computed to create the White friends score",Cross-group friendship
703,Coder 1,1,in,"Social contacts questionnaire (Rowley, 1999). This scale examined the number of African American and European American peers the child had. It was adapted from a similar scale by Wegner and Shelton (1995). This 10-item scale asked students to use a 4-point scale (a  0,b 1–2,c 3–4,d 5 or more) to indicate how many Black or White friends they have. An example item is, “How many close Black/White friends do you have?” The average of the 5 items related to Black friends was computed to create the Black friends score, and the average of the 5 items related to White friends was computed to create the White friends score",Ingroup contact
703,Coder 1,1,pi,"Racial stories task (Johnson, 1996). Expectations for crossrace social interactions (social expectations) were examined with the Racial Stories Task (Johnson, 1996). Four vignettes were read to the participants to assess their expectations for cross-race social situations involving European American teachers, peers, and school administrators. Each vignette consisted of a story with a child of the same age, race, and sex as the participant. In each case, the main character of the story was about to interact with European Americans. The participant was asked to imagine what would happen and to give a possible reason for that outcome. The first vignette described an African American child in a class with all European American students and a European American teacher. Participants reported whom they thought the teacher would call on if the African American child and a European American child both had their hands up, and why. The second vignette involved an African American child wanting to sit at a table of European American children. The participant was asked how the EuropeanAmericanchildrenwouldrespondtohisorherrequestto sit down, and why. The third vignette involved a kickball game. The participant was supposed to imagine whether the African American main character, who was good at kickball, would be chosen on a team that was all European American, and why. The fourth vignette involved two children in a fight, one who was African American and one who was European American. They both went to the principal’s office, and the participant must imagine which of the two the principal would believe and which child would get punished, and why (both responses were included in composite calculations). Children’s responses to these vignettes were audiotaped and transcribed for coding. A single individual coded third- and fifthgrade transcripts, and a second individual coded 10% of the interviews to achieve reliability. Interviews were coded on several dimensions, but analyses for the current study focused on three scores: (a) the proportion of times that the participant reported that a negative outcome (e.g., that the teacher would call on the White student) would occur; (b) the proportion of times that the participant reported that a positive outcome (e.g., that the children would invite the Black student to sit with them) would occur; and (c) the proportionoftimesthattheparticipantexpectedthemaincharacterto be discriminated against. We defined discrimination expectations as the case where the participant offered a negative and racial reason for an outcome (e.g., that the teacher would call on the White student becauseWhiteteachersthinkBlackstudentsarenotsmart).Toderive these scores, we divided the number of times that the participant gave the relevant response to the vignettes by 5, the total number of vignettes. The result is a proportion ranging from 0 (i.e., expectations of discrimination for none of the vignettes) to 1 (i.e., expectations of discrimination in all of the vignettes). Intraclass correlations for composite variables ranged from .89 to 1.0.",Perceived injustice (other)
711,Coder 1,1,pc,"2.5.1. Quality of contact The quality of contact experiences with New Zealanders was examined by six speciﬁc contact conditions. These conditions were rated on 6-point bipolar continua: involuntary–voluntary, superﬁcial–intimate, unpleasant–pleasant, equal status–unequal status, cooperative–competitive, and accepting-rejecting. Higher scores denoted more positive contact experience with New Zealanders.",Contact quality / Positive contact
711,Coder 1,1,pd,"2.5.4. Perceived discrimination Level of perceived discrimination was assessed using seven items adapted and modiﬁed from Hocoy’s (1994) perceived racism scale. Examples of this scale include ‘‘I have been discriminated by New Zealanders because I am Chinese,’’ ‘‘New Zealanders often make me feel inferior,’’ and ‘‘I often ﬁnd it unpleasant being a Chinese in New Zealand.’’ Participants indicate their agreement with each statement on a ﬁve-point Likert scale (1 = stronglydisagree, 5 = strongly agree). Higher ratings indicated a greater sense of perceived discrimination.",Personal discrimination
711,Coder 1,2,pc,"All the scales used in the previous study were used again in the current study, changing the word ‘‘New Zealand’’ to ‘‘Singapore’’. The entire questionnaire was presented to participants in Chinese.",Contact quality / Positive contact
711,Coder 1,2,pd,"All the scales used in the previous study were used again in the current study, changing the word ‘‘New Zealand’’ to ‘‘Singapore’’. The entire questionnaire was presented to participants in Chinese.",Personal discrimination
733,Coder 1,1,in,"Two items relating to the quantity of contact asked about contact with conationals living in Britain and about contact with host nationals (1 = Not at all,5= Very much). Two further items relating to the quality of contact asked about contact with conationals and host nationals (1 = Not at all, 5 = Very much). A principal components factor analysis (Varimax rotation with Kaiser normalisation) of these four items revealed two independent factors accounting for 90.65% of the variance. The ﬁrst factor referred to contact (quantity and quality of contact) with conationals, and accounted for 48.44% of the explained variance. The second factor referred to the quantity and quality of contact with host nationals, and accounted for 42.21% of the explained variance. Factor scores were created for each participant by averaging the scores of items associated with each factor, and were used in all subsequent analysis as scores of contact with conationals (a = 0.95) and host nationals (a = 0.81).",Ingroup contact
733,Coder 1,1,ic,"Two items relating to the quantity of contact asked about contact with conationals living in Britain and about contact with host nationals (1 = Not at all,5= Very much). Two further items relating to the quality of contact asked about contact with conationals and host nationals (1 = Not at all, 5 = Very much). A principal components factor analysis (Varimax rotation with Kaiser normalisation) of these four items revealed two independent factors accounting for 90.65% of the variance. The ﬁrst factor referred to contact (quantity and quality of contact) with conationals, and accounted for 48.44% of the explained variance. The second factor referred to the quantity and quality of contact with host nationals, and accounted for 42.21% of the explained variance. Factor scores were created for each participant by averaging the scores of items associated with each factor, and were used in all subsequent analysis as scores of contact with conationals (a = 0.95) and host nationals (a = 0.81).",Intergroup contact (other)
733,Coder 1,1,pd,"Perceived discrimination was assessed with six items concerning the frequency of being treated negatively due to participants’ nationality. These items were rated on a 4-point scale (1 = Never,4= Almost always) and averaged scores showed good reliability (a = 0.79).",Personal discrimination
775,Coder 1,1,cf,"Intercultural contacts. Intercultural contacts were measured by parallel questions for the Russians and for the members of the titular ethnic population. We asked respondents about the number of their close friends and their frequency of contact with them. The Russians were asked about friends among the Kabardians and the Balkars, and the Kabardians and the Balkars were asked about their friends among the Russians. This combination of number and frequency of intercultural contacts is termed the intensity of contacts. We asked only about close friendly contacts because friendly contacts implicitly involve equality, one of the conditions stipulated in the contact hypothesis. Cronbach’s alpha was .87 for the Russian sample and .82 for the Kabardian and Balkar sample.",Cross-group friendship
775,Coder 1,1,pd,"Perceived discrimination. Perceived discrimination was measured by three items, such as “I have been discriminated against at work (promotion, benefits) / during my studies because of my ethnicity”. This scale was used with the Russians only; Cronbach’s alpha was .91.",Personal discrimination
783,Coder 1,1,cq,"For measuring native contacts, respondents were asked to indicate on a seven-point scale ranging from “never” to “daily,” how often they had contact with natives in their neighborhood.1 1The questions on social contact in this survey asked how often respondents had contact with natives, in their neighborhood, at work and at social clubs. Because many respondents were not employed (about 40 percent) and were not a member of any social club (about 60 percent), we focus on the neighborhood contacts.",Contact quantity
783,Coder 1,1,pd,"Perceived discrimination was measured by asking respondents to indicate, on a three-point scale (i.e., never, sometimes, often), if they had been discriminated against in job applications, at work, at school, on the street, in associations/clubs they were members of, and while going out (nightlife). We took the average of these items that formed a reliable scale (Cronbach’s a = .81).",Personal discrimination
783,Coder 1,2,cq,NA,Contact quantity
783,Coder 1,2,pd,NA,Personal discrimination
789,Coder 1,1,ic,"We employed a quasi-experimental design. MME participants were 153 Jews and 162 Palestinians, all residents of Israel. Each participant took part in one of eight 2-day encounters for high school students, conducted by Givat Haviva Institute between November 2010 and March 2011. All encounters were similarly structured, with activities shifting the emphasis from interpersonal to intergroup exchanges. The latter often included intense political dialogues on intrastate power disparities, conflict-related affairs, and national–historical narratives. An additional 64 Jews and 119 Palestinians served as the comparison group (total N  498). However, students were not randomly assigned to the two conditions. Encounter participants from both national groups either volunteered or were selected to take part in the workshops by their respective schools; nonparticipants either chose not to attend or were not assigned by their schools (the selection method varied across schools). Evidently, this resulted in high likelihood for selection bias.  Respondents in the comparison condition did not attend any relevant school-setting intervention, and were examined in parallel to the MMEs. All students received anonymous self-report questionnaires in Hebrew (for Jews) and Arabic (for Palestinians) measuring mediating and outcome variables roughly 2 weeks before (pretest) and immediately after (posttest) the encounter. All questionnaires contained additional measures not reported in this paper.",Intergroup contact (other)
789,Coder 1,1,gd,"A 4-item scale for perceived equality was constructed using items from Smooha (2005; sample item: “There is no discrimination against the Arab minority in Israel”). Reliability indices were borderline ( between .58 and .71). To improve reliability, a reverse-worded item (“A Jewish citizen in Israel has more rights than an Arab citizen”) was removed, and an average score was computed using the remaining three items (Jews,pre  .73, Palestinians,pre  .66, Jews,post  .77, Palestinians,post  .72).",Group discrimination
789,Coder 1,1,pi,"A measure of perceived threat for Israeli Jews was taken from Sullivan, Shamir, Walsh, and Roberts (1985), and a parallel measure for Palestinians was created based on three items from Smooha (2005). Jews rated the extent to which they agreed that Arab citizens of Israel endanger “Israel’s security,” “Israel’s Jewish character”, and “Israeli democracy” (pre  .82, post  .75). Palestinians rated the extent to which they feared “severe infringement of the rights of Arab citizens,” “state violence against Arabs,” and “population transfer (mass expulsion) of some Arab citizens” (pre  .82, post  .79).",Perceived injustice (other)
803,Coder 1,1,cq,"Anglo contact was measured in a generalized rather than situationally specific manner by asking respondents how much contact they usually have with Anglos, ""a lot,"" ""some,"" ""a little,"" or ""none.""  ... A high on these three contact measures reflects frequent interaction,a low score little or no interaction.",Contact quantity
803,Coder 1,1,in,"Ingroup Contact was measured by asking respondents ""How many of your friends (also neighbors and co-workers) are of Mexican descent?"" Response categories ranged from ""all,"" ""most,"" ""a few,"" to ""none."" Scores on these four measures were averaged to give an overall index of extensiveness of ingroup contact across situations. ... A high on these three contact measures reflects frequent interaction,a low score little or no interaction.",Ingroup contact
803,Coder 1,1,ld,"Illegitimacy of Subordination examined beliefs about the validity of status differentials between Mexican-origin persons and Anglos. This index assessed awareness of discrimination against of Mexican descent in schools, work and industry, public agencies, and interactions with the police. A high score indicates awareness Of discrimination, hence the perception that group subordination was illegitimate.",(Il-)legitimacy of discrimination
813,Coder 2,1,ic,"Manipulated comonality vs differences-focussed contact: Participants from both groups were then led into another room, where the intergroup interaction occurred. They were instructed to discuss three topics, each for 2 min. In the commonality- focus condition, participants were instructed to discuss things the groups had in common in the session (e.g., ‘‘similar steps the groups went through in this study’’), and in the differences-focus condition, they were instructed to discuss aspects of their tasks, which was the only difference between the groups (e.g., ‘‘differences between the tasks the groups will do next’’).",Intergroup contact (other)
813,Coder 2,1,pi,"For our measure of perceptions of out-group fairness, disadvantaged- group members rated the extent to which they expected equitable distribution of credits, responding to the following two items: ‘‘After the discussion I feel that people from the other group may decide to distribute the credits in a way that will be fair to both groups,’’ and ‘‘After the discussion I expect a close-to-equal distribution of the 10 extra credits between the groups in this study,’’ r(103) 5 .73, p < .01, prep > .97.Disadvantaged- group members were also asked to indicate the actual number of credits they expected to receive by filling in the blank in the following statement: ‘‘People in the other group will probably give my group ____ credits.’",Perceived injustice (other)
813,Coder 2,2,ic,Contact was assessed with two items: ‘‘With how many Jews are you personally acquainted today?’’ and ‘‘How many Jewish friends do you have today?’’ (r 5 .67). Responses ranged from 1 (none) to 8 (more than 10).,Intergroup contact (other)
813,Coder 2,2,ld,Attention to illegitimate aspects of the inequality was assessed with one item: ‘‘To what extent would you consider the inequality between the groups as just?’’ (reverse-scored),(Il-)legitimacy of discrimination
813,Coder 2,2,ps,‘‘I do not see a need to support a change that will improve the position of Arabs within Israel’’ (reverse-scored); ‘‘I support legislation through which Arabs will be guaranteed equal work opportunities as Jews’’; and ‘‘I wish that Israeli-Jews and Israeli- Arabs would be more equal in terms of resources’’ (a 5 .67).,Policy support
813,Coder 2,2,oa,"To assess out-group attitudes, we asked participants to rate their feelings toward Jews on five bipolar evaluative dimensions: warm-cold (reverse-scored), negative-positive, friendly-hostile (reverse-scored), suspicioustrusting, and admiration-disgust (reverse-scored). The rating scales ranged from 1 (for the negative pole of the dimension) to 5 (for the positive pole of the dimension; a 5 .78)",Outgroup attitudes
823,Coder 2,1,cq,"This variable measures the frequency of involvement with U.S. students in five social activities, such as going to movies and eating together. Higher scores indicate greater involvement (alpha = .82).",Contact quantity
823,Coder 2,1,pd,This variable is measured by students' indicating whether they have ever experienced discrimination because of their nationality while in the U.S. Higher scores indicate less discrimination.,Personal discrimination
829,Coder 1,1,cq,"Ethnic peer contact: The scale (4 items) assessed the frequency of interaction with peers from ones own ethnic group and from the national group, respectively. A sample question is: ‘‘How often do you spend free time with peers from your own ethnocultural group?’’ Cronbach alpha was .77. Response options ranged from ‘‘never’’ (1) to ‘‘weekly’’ (5). It was specifically developed for the ICSEY-study.",Contact quantity
829,Coder 1,1,pd,"Perceived discrimination: This scale was developed for the ICSEY-study and assessed the perceived frequency of being treated unfairly or negatively, being teased, being threatened, or feeling unaccepted because of one’s ethnicity (e.g., ‘‘I have been teased or insulted because of my ethnic background’’) (9 items, Cronbach alpha .84). Response options ranged from ‘‘strongly disagree’’ (1) to ‘‘strongly agree’’ (5).",Personal discrimination
830,Coder 1,1,cf,"Co-ethnic friendship     Friends’ ethnic composition was also assessed in both the KAF and CCF datasets. In the KAF dataset, KA youth were asked how many Korean, Chinese, Vietnamese, Filipino, other Asian, White, Hispanic, and others (excluding Asian) they considered to be their close friends. In the CCF data, the two relevant items were “Thinking about all of your friends, about what percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2) a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%). The question asking for the percentage of co-ethnic friends was used in this study in order to consider how many co-ethnic friends respondents had, compared to friends from other ethnic groups. The question in the KAF dataset was recoded to be comparable with CCF data: (1) 0%, (2) 1%–25%, (3) 26%–50%, (4) 51%–75%, and (5) 76%–100%.",Cross-group friendship
830,Coder 1,1,pi,"Perceived discrimination (PD) was measured using a scale based on a composite of  measures developed by Phinney, Madden, and Santos (1998) and Verkuyten (1998). In the KAF  data, the PD scale developed for the international study consists of six items: Four items assess  the perceived frequency of being treated unfairly or negatively due to participants’ ethnic  background by peers, teachers, and other Americans while two items assess how often they feel  that other Americans behave unfairly toward Koreans or have something against Koreans (see  Appendix A). Examples include “How often do you feel that other students/your teachers treat  you unfairly because you are Korean?” and “How often do you feel that you are called names in  school because you are Korean?”",Perceived injustice (other)
830,Coder 1,2,cf,"Co-ethnic friendship     Friends’ ethnic composition was also assessed in both the KAF and CCF datasets. In the  KAF dataset, KA youth were asked how many Korean, Chinese, Vietnamese, Filipino, other  Asian, White, Hispanic, and others (excluding Asian) they considered to be their close friends. In  the CCF data, the two relevant items were “Thinking about all of your friends, about what  58    percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of  your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2)  a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%).  The question asking for the percentage of co-ethnic friends was used in this study in order to  consider how many co-ethnic friends respondents had, compared to friends from other ethnic  groups. The question in the KAF dataset was recoded to be comparable with CCF data: (1) 0%,  (2) 1%–25%, (3) 26%–50%, (4) 51%–75%, and (5) 76%–100%.",Cross-group friendship
830,Coder 1,2,pd,"In the CCF data, the PD was measured using two items: “I am  treated unfairly by the people in my neighborhood, because I am (Vietnamese/Cambodian)” and  “I am treated unfairly by the people in my school, because I am (Vietnamese/Cambodian).”",Personal discrimination
830,Coder 1,3,cf,"Co-ethnic friendship     Friends’ ethnic composition was also assessed in both the KAF and CCF datasets. In the  KAF dataset, KA youth were asked how many Korean, Chinese, Vietnamese, Filipino, other  Asian, White, Hispanic, and others (excluding Asian) they considered to be their close friends. In  the CCF data, the two relevant items were “Thinking about all of your friends, about what percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of  your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2)  a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%).  The question asking for the percentage of co-ethnic friends was used in this study in order to  consider how many co-ethnic friends respondents had, compared to friends from other ethnic  groups. The question in the KAF dataset was recoded to be comparable with CCF data: (1) 0%,  (2) 1%–25%, (3) 26%–50%, (4) 51%–75%, and (5) 76%–100%.",Cross-group friendship
830,Coder 1,3,pd,"In the CCF data, the PD was measured using two items: “I am  treated unfairly by the people in my neighborhood, because I am (Vietnamese/Cambodian)” and  “I am treated unfairly by the people in my school, because I am (Vietnamese/Cambodian).”",Personal discrimination
856,Coder 2,1,cq,"Frequency of outgroup contact was measured as contact with Macedonians for the Roma sample and contact with Roma for the non‐Roma sample. Participants indicated on a scale from 0 (never) to 6 (every day) how often they actively interacted with Macedonians and the Roma in four different settings: at school; in the neighbourhood; at clubs, associations, and courses outside of school; and on the Internet. The four items formed a reliable scale for the Roma (α = .75) and the non‐Roma (α = .84).",Contact quantity
856,Coder 2,1,pc,"Quality of outgroup contact was measured with single items referring to the two target out‐groups: “How would you describe your contact with Roma/Macedonians?” on a scale ranging from 1 (always negative) to 7 (always positive). As questions about quality were only asked to participants who did have intergroup contact, analyses using this measure rely on substantially smaller samples: Roma N = 167; non‐Roma N = 382 (173 Macedonians, 104 Albanians, and 105 Turks). For this reason, we primarily focus on quantity of contact and consider quality of contact in an additional analysis.",Contact quality / Positive contact
856,Coder 2,1,ld,"Participants indicated their level of agreement (7‐point scales) with several reasons that may have contributed to the lower social status of Roma compared to other ethnic groups in Macedonia: “Because people from other groups treat the Roma unfairly,” “Because most people are prejudiced towards the Roma,” and “Because the government does not do enough to improve their status.” A higher score means higher perceived injustice (Roma sample: α = .79; non‐Roma sample: α = .86).",(Il-)legitimacy of discrimination
856,Coder 2,1,ps,"Respondents were given a short introduction and eight items about ways of achieving greater political and social participation of Roma in Macedonian society: “The EU and other transnational organizations often state that in order for Roma in Macedonia to have equal status as all other ethnic groups, it is important that they are empowered in specific ways. How can this be achieved? Below is a set of statements indicating higher social and political participation of Roma. In your opinion, how important is it that Roma have the following?: ‘At least one Roma minister in the government’, ‘Roma representatives in the government’, ‘A Roma mayor in the municipalities with a Roma majority’, ‘Roma employees in public administration’, ‘Roma employees in the police’, ‘Roma teachers’, ‘Roma doctors’, and ‘More Roma university graduates’.” Answer categories ranged from 1 (not important at all) to 7 (absolutely essential). For both Roma and non‐Roma participants, the items were internally consistent (Cronbach's α = .94 and .95).",Policy support
856,Coder 2,1,oa,"Feelings towards Macedonians for the Roma sample and feelings towards Roma for the non‐Roma sample were measured using feeling thermometers. Participants indicated how they felt towards the out‐group on a scale ranging from −50° to 50° (with 10° increments), with 0° serving as a neutral point (i.e., neither negative nor positive feelings). The scale was recoded to range from 0 to 10, where higher scores indicated more positive feelings.",Outgroup attitudes
893,Coder 2,1,oc,"Perceived ingroup density was assessed by measuring perceptions of the degree of out-group clustering in the participant’s neighbourhood. The questions were: 1) How many of your close neighbours are of a different religion to you / are from the other community? 2) In the area where you live, how many of the people do you think are of a different religion to you? / from the other community? 3) How often do you see members of the other community in this area? In addition, respondents were asked to guess the percentage of Protestants and Catholics living in their local area. This was measured on a continuous scale (range 0- 100%). Responses were then categorised as 0-25%, 26-50%, 51-75%, and 76-100%. Following confirmatory factor analysis using LISREL 8.7, all four items were treated as ordinal and summated to form a quasi-interval perceived ethnic density score where a high score indicated a high level of in-group density.",Opportunity for contact
893,Coder 2,1,pi,"Ingroup identification was assessed using five items from the Group Identification Scale (Brown et al., 1986). Each item was responded to on a five-point Likert scale. An example item is: “Would you say you are a person who: 1) considers the Catholic/Protestant community important? 2) identifies with the Catholic/Protestant community? 3) feels strong ties with the Catholic/Protestant community? 4) glad to belong to the Catholic/Protestant community? 5) sees himself/herself as belonging to the Catholic/Protestant community? Again, Likert responses to items were summated in an overall religious community identification scale where a high score was indicative of high levels of in-group identification.",Perceived injustice (other)
893,Coder 2,1,gi,"Perceived Discrimination/Inequality Against the In-group:Three Likert scale items were included as indicators of perceived discrimination/ inequality. These required respondents to indicate their level of satisfaction with: 1) the way jobs are distributed between the two main communities in Northern Ireland. 2) the way political power is distributed. 3) the relative standard of living of one’s in-group relative to the out-group. Once more, items were summated in a single scale where a high score indicated high expressed dissatisfaction or high perceived discrimination/inequality.",Group identificaiton
894,Coder 2,1,oc,"Two items provided an index of the likelihood of a history of contact with Whites and other racial/ethnic minorities in their home communities. These items asked for the approximate percentage of similar racial/ethnic minorities in their grade school and neighborhood in which they were raised. These were closed-ended questions with only four options: 50-100%, 25-49%, 5-24%, and 0-4%. Higher scores indicated an increased likelihood for intergroup contact.",Opportunity for contact
894,Coder 2,1,ca,Two items measured general endorsement of collective action. They asked participants to rate their level of agreement (9-point scale) with the statements: “The only way Chicano/Latino/Mexican-Americans (Blacks/African-Americans) will gain their civil rights is by constant protest and even illegal social action” and “Chicano/Latino/Mexican-Americans (Blacks/African- Americans) must stick together and work as a group to change the position of all Chicano/Latino/Mexican-Americans (Blacks/African-Americans).” Higher scores indicated greater endorsement of collective action.,Collective action
894,Coder 2,1,gi,Four items measured ingroup identification. The first was Tropp and Wright’s (2001) Inclusion of the Ingroup in the Self (IIS) Scale. This single-item measure assessed the degree to which an ingroup is included in the concept of the self. This measure has been found to be a valid and reliable measure of group identification. The item presented participants with seven pairs of circles showing increasing overlap. The overlapping circles were described as signifying the degree of interconnection between the self and one’s racial/ethnic group. Participants select the pair of circles that best represents their own relationship with their racial/ethnic ingroup.  Three additional items measured racial/ethnic identification. Participants were asked: How strongly do you identify with the group Chicano/Latino/ Mexican- Americans (Blacks/African-Americans)? Would you think it is accurate if you were described as a typical Chicano/Latino/Mexican-American (Black/African- American)? How often do you acknowledge or think about the fact that you are Chicano/Latino/Mexican-American (Black/African-American)? These three items were measured on 9-point scales. The items were combined with higher scores indicated stronger identification with one’s racial/ethnic group.,Group identificaiton
894,Coder 2,1,oa,"Five items measured the degree of social distancing from Whites. Four of the items asked participants to rate their level of agreement (9-point scale) with the statements: “I would gladly accept Whites into my street as neighbors,” “I would gladly accept Whites into my club as personal chums,” “I would gladly accept Whites as a godparent to my child,” and “I would gladly accept Whites as close kin by marriage.” The fifth item included level of agreement with the statement: “Most of the Whites I meet do care for and appreciate me as a Chicano/ Latino/Mexican-American (Blacks/African-American).’’ For all items, higher scores indicated reduced social distancing from Whites, (i.e. more positive intergroup attitudes).",Outgroup attitudes
