id,sample,var,variable,name,text,ic_direct,ic_quality,pi_personal,pi_specific
830,1,ic,cf,Cross-group friendship,"Co-ethnic friendship     Friends’ ethnic composition was also assessed in both the KAF and CCF datasets. In the KAF dataset, KA youth were asked how many Korean, Chinese, Vietnamese, Filipino, other Asian, White, Hispanic, and others (excluding Asian) they considered to be their close friends. In the CCF data, the two relevant items were “Thinking about all of your friends, about what percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2) a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%). The question asking for the percentage of co-ethnic friends was used in this study in order to consider how many co-ethnic friends respondents had, compared to friends from other ethnic groups. The question in the KAF dataset was recoded to be comparable with CCF data: (1) 0%, (2) 1%–25%, (3) 26%–50%, (4) 51%–75%, and (5) 76%–100%.",Indirectly,No,NA,NA
830,1,pi,pi,Perceived injustice (other),"Perceived discrimination (PD) was measured using a scale based on a composite of  measures developed by Phinney, Madden, and Santos (1998) and Verkuyten (1998). In the KAF  data, the PD scale developed for the international study consists of six items: Four items assess  the perceived frequency of being treated unfairly or negatively due to participants’ ethnic  background by peers, teachers, and other Americans while two items assess how often they feel  that other Americans behave unfairly toward Koreans or have something against Koreans (see  Appendix A). Examples include “How often do you feel that other students/your teachers treat  you unfairly because you are Korean?” and “How often do you feel that you are called names in  school because you are Korean?”",NA,NA,Personal,General
830,2,ic,cf,Cross-group friendship,"Co-ethnic friendship     Friends’ ethnic composition was also assessed in both the KAF and CCF datasets. In the  KAF dataset, KA youth were asked how many Korean, Chinese, Vietnamese, Filipino, other  Asian, White, Hispanic, and others (excluding Asian) they considered to be their close friends. In  the CCF data, the two relevant items were “Thinking about all of your friends, about what  58    percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of  your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2)  a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%).  The question asking for the percentage of co-ethnic friends was used in this study in order to  consider how many co-ethnic friends respondents had, compared to friends from other ethnic  groups. The question in the KAF dataset was recoded to be comparable with CCF data: (1) 0%,  (2) 1%–25%, (3) 26%–50%, (4) 51%–75%, and (5) 76%–100%.",Indirectly,No,NA,NA
830,2,pi,pd,Personal discrimination,"In the CCF data, the PD was measured using two items: “I am  treated unfairly by the people in my neighborhood, because I am (Vietnamese/Cambodian)” and  “I am treated unfairly by the people in my school, because I am (Vietnamese/Cambodian).”",NA,NA,Personal,General
830,3,ic,cf,Cross-group friendship,"Co-ethnic friendship     Friends’ ethnic composition was also assessed in both the KAF and CCF datasets. In the  KAF dataset, KA youth were asked how many Korean, Chinese, Vietnamese, Filipino, other  Asian, White, Hispanic, and others (excluding Asian) they considered to be their close friends. In  the CCF data, the two relevant items were “Thinking about all of your friends, about what percentage of your friends are Vietnamese/Cambodian?” and “What is the ethnicity of the rest of  your friends?” The first question in the CCF dataset used the following scale: (1) none (0%), (2)  a few (1%–25%), (3) some (26%–50%), (4) quite a few (51%–75%), and (5) a lot (76%–100%).  The question asking for the percentage of co-ethnic friends was used in this study in order to  consider how many co-ethnic friends respondents had, compared to friends from other ethnic  groups. The question in the KAF dataset was recoded to be comparable with CCF data: (1) 0%,  (2) 1%–25%, (3) 26%–50%, (4) 51%–75%, and (5) 76%–100%.",Indirectly,No,NA,NA
830,3,pi,pd,Personal discrimination,"In the CCF data, the PD was measured using two items: “I am  treated unfairly by the people in my neighborhood, because I am (Vietnamese/Cambodian)” and  “I am treated unfairly by the people in my school, because I am (Vietnamese/Cambodian).”",NA,NA,Personal,General
856,1,ic,cq,Contact quantity,"Frequency of outgroup contact was measured as contact with Macedonians for the Roma sample and contact with Roma for the non‐Roma sample. Participants indicated on a scale from 0 (never) to 6 (every day) how often they actively interacted with Macedonians and the Roma in four different settings: at school; in the neighbourhood; at clubs, associations, and courses outside of school; and on the Internet. The four items formed a reliable scale for the Roma (α = .75) and the non‐Roma (α = .84).",Directly,No,NA,NA
856,1,ic,pc,Contact quality / Positive contact,"Quality of outgroup contact was measured with single items referring to the two target out‐groups: “How would you describe your contact with Roma/Macedonians?” on a scale ranging from 1 (always negative) to 7 (always positive). As questions about quality were only asked to participants who did have intergroup contact, analyses using this measure rely on substantially smaller samples: Roma N = 167; non‐Roma N = 382 (173 Macedonians, 104 Albanians, and 105 Turks). For this reason, we primarily focus on quantity of contact and consider quality of contact in an additional analysis.",Directly,Yes,NA,NA
856,1,pi,ld,(Il-)legitimacy of discrimination,"Participants indicated their level of agreement (7‐point scales) with several reasons that may have contributed to the lower social status of Roma compared to other ethnic groups in Macedonia: “Because people from other groups treat the Roma unfairly,” “Because most people are prejudiced towards the Roma,” and “Because the government does not do enough to improve their status.” A higher score means higher perceived injustice (Roma sample: α = .79; non‐Roma sample: α = .86).",NA,NA,Group,General
893,1,ic,oc,Opportunity for contact,"Perceived ingroup density was assessed by measuring perceptions of the degree of out-group clustering in the participant’s neighbourhood. The questions were: 1) How many of your close neighbours are of a different religion to you / are from the other community? 2) In the area where you live, how many of the people do you think are of a different religion to you? / from the other community? 3) How often do you see members of the other community in this area? In addition, respondents were asked to guess the percentage of Protestants and Catholics living in their local area. This was measured on a continuous scale (range 0- 100%). Responses were then categorised as 0-25%, 26-50%, 51-75%, and 76-100%. Following confirmatory factor analysis using LISREL 8.7, all four items were treated as ordinal and summated to form a quasi-interval perceived ethnic density score where a high score indicated a high level of in-group density.",Indirectly,No,NA,NA
893,1,pi,pi,Perceived injustice (other),"Perceived Discrimination/Inequality Against the In-group:Three Likert scale items were included as indicators of perceived discrimination/ inequality. These required respondents to indicate their level of satisfaction with: 1) the way jobs are distributed between the two main communities in Northern Ireland. 2) the way political power is distributed. 3) the relative standard of living of one’s in-group relative to the out-group. Once more, items were summated in a single scale where a high score indicated high expressed dissatisfaction or high perceived discrimination/inequality.",NA,NA,Group,General
894,1,ic,oc,Opportunity for contact,"Two items provided an index of the likelihood of a history of contact with Whites and other racial/ethnic minorities in their home communities. These items asked for the approximate percentage of similar racial/ethnic minorities in their grade school and neighborhood in which they were raised. These were closed-ended questions with only four options: 50-100%, 25-49%, 5-24%, and 0-4%. Higher scores indicated an increased likelihood for intergroup contact.",Indirectly,No,NA,NA
894,2,ic,oc,Opportunity for contact,same as sample 1,Indirectly,No,NA,NA
933,1,ic,cf,Cross-group friendship,"Respondents provided yes or no responses to two items regarding interracial contact. As a general contact measure, participants first indicated whether they “now have contact or not with a person who is (white/black).” As a measure of close contact, only those respondents who reported having contact then indicated whether they “have contact with a (white/black) as a good friend.”",Directly,Yes,NA,NA
933,1,pi,gd,Group discrimination,"Additionally, respondents reported “how much discrimination there is against (whites/blacks) in our society today,” with reverse-coded responses ranging from 1 (none at all) to 4 (a great deal).",NA,NA,Group,General
956,1,ic,pc,Contact quality / Positive contact,"Intergroup contact was measured as how often, from 1 = never to 5 = very often, respondents had a variety of positive and negative experiences with [non-]heterosexual people (Fell et al., 2016; Stephan et al., 2002). Negative contact (α1a = .81, α1b = .70) was measured using five items: being verbally abused, intimidated, threatened with harm, ridiculed, and made to feel unwanted. Positive contact (α1a = .75, α1b = .85) was measured using five items: being supported, helped, complimented, befriended, and made to feel welcome.",Directly,Yes,NA,NA
956,1,pi,gd,Group discrimination,"Perceived discrimination was measured using items adopted from Mays and Cochran (2001) and Garstka, Schmitt, Branscombe, and Hummert (2004). Four items measured group discrimination (α1a = .75, α1b = .83): “Nonheterosexual people as a group have been victimized by society,” “Historically, non-heterosexual people have been discriminated against more than heterosexual people” (1 = strongly disagree, 7 = strongly agree), “To what extent does discrimination interfere with non-heterosexual people’s pursuit of a full and productive life?” and “To what extent does discrimination make the life of non-heterosexual people harder?” (1 = not at all, 4 = a lot).",NA,NA,Group,General
956,1,pi,pd,Personal discrimination,"In addition, for sexual-minority respondents only, we also measured their sense of personal discrimination (α1a = .77): “I feel like I am personally a victim of society because of my sexual orientation,” “I consider myself a person who has been deprived of opportunities that are available to others because of my sexual orientation” (1 = strongly disagree, 7 = strongly agree), and “To what extent has discrimination made your life harder?” (1 = not at all, 4 = a lot).",NA,NA,Personal,General
956,2,ic,pc,Contact quality / Positive contact,"Positive and negative contact with heterosexual and/or cisgender people, perceived personal and group discrimination against LGB+ people and/or transgender people were measured with the same scales as in Study 1.",Directly,Yes,NA,NA
956,2,pi,gd,Group discrimination,"Positive and negative contact with heterosexual and/or cisgender people, perceived personal and group discrimination against LGB+ people and/or transgender people were measured with the same scales as in Study 1.",NA,NA,Group,General
956,2,pi,pd,Personal discrimination,"Positive and negative contact with heterosexual and/or cisgender people, perceived personal and group discrimination against LGB+ people and/or transgender people were measured with the same scales as in Study 1.",NA,NA,Personal,General
1020,1,ic,ic,Intergroup contact (other),"Contact. Two items relating to the quantity of contact asked about contact with co-nationals living in Britain and about contact with host nationals (1 = not at all, 5 = very much). Two further items relating to the quality of contact similarly asked about contact with co-nationals and host nationals (1 = not at all, 5 = very much).",Directly,No,NA,NA
1020,1,pi,pd,Personal discrimination,"Perceived discrimination. Perceived discrimination was assessed with six items concerning the frequency of being treated negatively due to the participants’ nationality (e.g., ‘‘Have you been the target of aggression, insults or threats because of your nationality or origin?’’). Responses were made on a 4-point scale (1 = never, 4 = almost always), and reliability analysis suggested that the scale was both consistent and reliable (a = .80). The items in the scale were averaged to produce an overall score for perceived discrimination.",NA,NA,Personal,Specific
1020,2,ic,ic,Intergroup contact (other),"Contact. Two items relating to the quantity of contact asked about contact with co-nationals living in Britain and about contact with host nationals (1 = not at all, 5 = very much). Two further items relating to the quality of contact similarly asked about contact with co-nationals and host nationals (1 = not at all, 5 = very much).",Directly,No,NA,NA
1020,2,pi,pd,Personal discrimination,"Perceived discrimination. Perceived discrimination was assessed with six items concerning the frequency of being treated negatively due to the participants’ nationality (e.g., ‘‘Have you been the target of aggression, insults or threats because of your nationality or origin?’’). Responses were made on a 4-point scale (1 = never, 4 = almost always), and reliability analysis suggested that the scale was both consistent and reliable (a = .80). The items in the scale were averaged to produce an overall score for perceived discrimination.",NA,NA,Personal,Specific
1042,1,ic,cq,Contact quantity,"Intergroupcontact. Studentswereaskedtowhatextenttheyinteractoncampus with students from a variety of groups including African American/Black, Asian American/Asian, Hispanic/Latino, Native American, European American, andother.Responseswerebasedonafive-pointscalefrom“nointeraction”(1)to “the most interaction” (5), with a midpoint of “some interaction” (3). Additional questions included asking students to list their six closest friends and describe their background, including race/ethnicity. The race or ethnicity was coded in a manner similar to that used for categorizing the respondents themselves. Two research assistants independently completed the coding with high agreement as the racial/ethnic descriptions provided by respondents easily fit these categories. For each respondent, the number of close friends they listed that belonged to each of the ethnic groups was counted. Individual responses to the questions above were standardized—transformed into z-scores—using the complete first-year survey sample and then summed to create contact variables. Given the emphasis on contact among African American,AsianAmerican,andEuropeanAmericanstudents,contactwithmembers of these groups was considered. Three variables thus represent summary indicesofinterethniccontact:groupcontactwith(1)EuropeanAmericans,(2)Asian Americans,and(3)AfricanAmericans.Accordingly,forEuropeanAmericanstudents, group contact with other European Americans constitutes ingroup contact, whereas contact with the other two ethnic groups constitutes outgroup contact. A similar distinction was made for Asian American and African American students.",Directly,No,NA,NA
1042,1,pi,gd,Group discrimination,"Awareness of racial inequality in United States society. Students were asked about whether they thought group inequality in the United States based on race or ethnicity still exists and whether it warrants action (NES, see Gurin, Miller, & Gunn, 1980; Lopez et al., 1998). Responses to three items were based on a scale of “strongly agree” (1), to “strongly disagree” (4). Mean responses to these items were computed and two variables were created for awareness of inequality at entrance, and at end of the first year. Internal reliability (Cronbach’s alpha) was .75 for European American students, .64 for Asian American students, and .64 for African American students.",NA,NA,Group,General
1042,2,ic,cq,Contact quantity,"Intergroup contact. Students were asked to what extent they interact on campus with students from a variety of groups including African American/Black, Asian American/Asian, Hispanic/Latino, Native American, European American, and other. Responses were based on a five-point scale from “no interaction” (1) to “the most interaction” (5), with a midpoint of “some interaction” (3). Additional questions included asking students to list their six closest friends and describe their background, including race/ethnicity. The race or ethnicity was coded in a manner similar to that used for categorizing the respondents themselves. Two research assistants independently completed the coding with high agreement as the racial/ethnic descriptions provided by respondents easily fit these categories. For each respondent, the number of close friends they listed that belonged to each of the ethnic groups was counted. Individual responses to the questions above were standardized—transformed into z-scores—using the complete first-year survey sample and then summed to create contact variables. Given the emphasis on contact among African American, Asian American, and European American students, contact with members of these groups was considered. Three variables thus represent summary indices of interethnic contact: group contact with (1) European Americans, (2) Asian Americans, and (3) African Americans. Accordingly, for European American students, group contact with other European Americans constitutes ingroup contact, whereas contact with the other two ethnic groups constitutes outgroup contact. A similar distinction was made for Asian American and African American students.",Directly,No,NA,NA
1042,2,pi,gd,Group discrimination,"Awareness of racial inequality in United States society. Students were asked about whether they thought group inequality in the United States based on race or ethnicity still exists and whether it warrants action (NES, see Gurin, Miller, & Gunn, 1980; Lopez et al., 1998). Responses to three items were based on a scale of “strongly agree” (1), to “strongly disagree” (4). Mean responses to these items were computed and two variables were created for awareness of inequality at entrance, and at end of the first year. Internal reliability (Cronbach’s alpha) was .75 for European American students, .64 for Asian American students, and .64 for African American students.",NA,NA,Group,General
1045,1,ic,cf,Cross-group friendship,Students reported whether each nominated friend was of the same or different race/ethnicity as themselves. We identified students who did not have any cross-ethnic friendships (0) versus students who had one or more cross-ethnic friends (1).,Indirectly,No,NA,NA
1045,1,pi,pd,Educator discrimination,"Perceptions of racial/ethnic discrimination were assessed using items from the Adolescent Discrimination Distress Index (Fisher et al., 2000), which has been used extensively with middle school students (e.g., Benner & Graham, 2011; Grossman & Liang, 2008). Students rated the frequency of discrimination by educators (two items; e.g., given a lower grade than deserved) and by peers (three items; e.g., other kids exclude you from their activities) because of their race/ethnicity over the past 6 months, using a scale from 1 (never) to 5 (a whole lot).",NA,NA,Personal,Specific
1045,1,pi,pd,Peer discrimination,"Perceptions of racial/ethnic discrimination were assessed using items from the Adolescent Discrimination Distress Index (Fisher et al., 2000), which has been used extensively with middle school students (e.g., Benner & Graham, 2011; Grossman & Liang, 2008). Students rated the frequency of discrimination by educators (two items; e.g., given a lower grade than deserved) and by peers (three items; e.g., other kids exclude you from their activities) because of their race/ethnicity over the past 6 months, using a scale from 1 (never) to 5 (a whole lot).",NA,NA,Personal,Specific
1114,1,ic,cq,Contact quantity,Participants reported how frequently they met outgroup members in town (contact quantity) on a 5-point Likert-type scale ranging from 1 (most of the time) to 5 (never).,Directly,No,NA,NA
1114,1,ic,ic,Intergroup contact (other),"In line with previous studies, we opted to compute a single index score of frequent positive contact (e.g., Tam et al., 2007; Voci & Hewstone, 2003), based on the idea that a combination of contact quantity and quality is optimal for reducing prejudice. To achieve this, we combined the two contact quality items into a composite score (Pearson’s r  .93 for Lebanese and .91 for Syrians). We then recoded contact quantity from 0 to 4 and contact quality from 2 to 2 and computed the cross-product of contact quantity and quality. This measure thus ranges from 8 to 8, with those reporting no contact or neutral contact with outgroup members scoring 0.",Directly,Yes,NA,NA
1114,1,ic,pc,Contact quality / Positive contact,"Those who had some form of intergroup contact then reported what their contact was frequently like when they encountered outgroup members in town (contact quality), using two 5-point Likert-type scales. The first scale ranged from 1 (extremely positive) to 5 (extremely negative). The second ranged from 1 (extremely good) to 5 (extremely bad).",Directly,Yes,NA,NA
1163,1,ic,cq,Contact quantity,"Interracial Contact. The Interracial Anxiety Measure consists of 32 items (e.g., “In the past, I have rarely interacted with White/Caucasian people”) assessing the quantity and quality of respondents’ previous contact with White people, their outcome expectancies regarding interactions with White people, their anxiety resulting from such interactions, their desire to avoid interactions with White people, and their degree of hostility resulting from interacting with White people. Responses are rated on a 7-point scale ranging from “strongly agree” (1) to “strongly disagree” (7). A high score on quality items indicates more positive contact and less hostility in interactions with White/Caucasian people. A high score on quantity items indicates more contact with White/Caucasian people. Scores were calculated by using a mean score.  For the current sample, a reliability analysis yielded a Cronbach’s alpha of .71 for quantity items and a Cronbach’s alpha of .88 for quality items. For the present study, the quantity and quality subscales of the Interracial Anxiety Measure were be used. Items measuring quantity included questions like “In the past, I have rarely interacted with White/Caucasian people,” and quality of contact was measured using items like “I have had many positive experiences with White/Caucasian people.”",Directly,No,NA,NA
1163,1,ic,pc,Contact quality / Positive contact,"Seven additional items were added to assess the quantity (e.g., “The neighborhood I currently live in has mostly Black/African American people” and quality (e.g., “Currently (in the present), my experiences with White/Caucasian people has been pleasant”) of current contact (in addition to the existing items measuring quantity and quality of past contact). In addition, the labels “Black” and “Caucasian” were changed on all measures to “Black/African American” and “White/Caucasian” to encompass different labeling preferences. Items 2, 3, 4, 13, 14, and 15 are reverse scored. (See Appendix D for full measure.)",Directly,No,NA,NA
1163,1,pi,pd,Personal discrimination,"The Perceived Ethnic Discrimination Questionnaire— Community Version (PEDQ-CV) is a 34-item Lifetime Discrimination scale. The items (e.g., “Have you been kept out of a public place or group”) required participants to indicate how often they have ever “had these experiences during their lifetime,” with response options using a 5- point Likert-type scale ranging from “never happened” (1) to “happened very often” (5). Higher scores indicate more frequent experiences with discrimination. A high score indicates more perception of discrimination. Scores were calculated by using a mean score. In previous research, all of the responses had Cronbach’s alpha coefficients greater than .75 (Brondolo et al., 2005). For the current sample, a reliability analysis yielded a Cronbach’s alpha of .96. (See Appendix B for full measure.)",NA,NA,Personal,Specific
1221,1,ic,cf,Cross-group friendship,"AddHealth network data provides a scale of the racial difference within a respondent's friendship (See Appendix A, Table 9). Racial difference is measured by the percentage of reported friends that are of a different race than the respondent.",Indirectly,No,NA,NA
1221,1,pi,pi,Perceived injustice (other),"""How much do you agree with the following statement? Students at your school are prejudiced."" (1 = strongly agree, 5 = strongly disagree)",NA,NA,Both,General
1221,2,ic,cf,Cross-group friendship,"AddHealth network data provides a scale of the racial difference within a respondent's friendship (See Appendix A, Table 9). Racial difference is measured by the percentage of reported friends that are of a different race than the respondent.",Indirectly,No,NA,NA
1221,2,pi,pi,Perceived injustice (other),"""How much do you agree with the following statement? Students at your school are prejudiced."" (1 = strongly agree, 5 = strongly disagree)",NA,NA,Both,General
1221,3,ic,cf,Cross-group friendship,"AddHealth network data provides a scale of the racial difference within a respondent's friendship (See Appendix A, Table 9). Racial difference is measured by the percentage of reported friends that are of a different race than the respondent.",Indirectly,No,NA,NA
1221,3,pi,pi,Perceived injustice (other),"""How much do you agree with the following statement? Students at your school are prejudiced."" (1 = strongly agree, 5 = strongly disagree)",NA,NA,Both,General
1221,4,ic,cf,Cross-group friendship,"AddHealth network data provides a scale of the racial difference within a respondent's friendship (See Appendix A, Table 9). Racial difference is measured by the percentage of reported friends that are of a different race than the respondent.",Indirectly,No,NA,NA
1221,4,pi,pi,Perceived injustice (other),"""How much do you agree with the following statement? Students at your school are prejudiced."" (1 = strongly agree, 5 = strongly disagree)",NA,NA,Both,General
1248,1,ic,cq,Contact quantity,Quantity of intergroup contact was measured by three items “How often do you talk to your Kurdish friends?” “How often do you spend time with them socially?” and “How often do you visit them at their home?”,Directly,Yes,NA,NA
1248,1,pi,rd,Relative deprivation,"Perceived realistic threats was measured by three items (α = .77) “Turks have too much economic power in this country,” “Turks have more political rights than Turks,” and “Too much money is spent on education policies that favour Turks.""",NA,NA,Group,General
1376,1,ic,ic,Intergroup contact (other),"Intergroup contact. Adapted from Voci and Hewstone (2003), items measuring quality of contact such as to what extent contact with the other community is “pleasant or unpleasant” and “rather positive or negative” were rated on 7-point Likert scales (.90). Quantity of contact, also adapted from Voci and Hewstone, was measured by asking participants to rate on a 5-point Likert scale ranging from 1 (none at all) to 5 (a great deal) how much contact they have with people from the other community “at meetings and events,” “just chatting to people,” and “over all social situations” (.83). Following Voci and Hewstone, we calculated a single measure of contact by multiplying together quality and quantity of contact, with a high score indicating high-frequency positive contact.",Directly,Yes,NA,NA
1386,1,ic,cq,Contact quantity,"The ﬁrst set (n 5 4) tapped dimensions of interaction between White and Black people that have been featured widely in research on contact (e.g., Islam & Hewstone, 1993). Two of these items gauged the amount of interracial contact in terms of rates of casual conversation and interactions withfriends.Forexample,thequestion‘‘Howoftenhaveyouhad conversations with White people in the past week?’’ offered the response options ‘‘not at all,’’ ‘‘once or twice,’’ and ‘‘three times or more.’’ Prior to analysis, these two quantity-of-contact items were combined to form a single measure. Speciﬁcally, we transformed scores on measures of the frequency of casual and friendly contact into an ordinal variable with three degrees of contact between Blacks and Whites: no contact, casual contact only, and both casual contact and friendly contact.",Directly,Yes,NA,NA
1395,1,ic,cq,Contact quantity,"Students’ extent of contact with local students was measured using an eight-item Quantity of Contact Scale from Tawagi and Mak (2015) who originally adapted items from Ward et al. (2005). This measure comprises 4-point rating scales, where 1 stands for never, 2 for rarely (once a month), 3 for sometimes (2-4 times a month), and 4 for often (5-15 times a month). An example item is “Spending time together in the holidays.”",Directly,No,NA,NA
1395,1,pi,gd,Group discrimination,"International students’ extent of perceived discrimination experienced in Hong Kong was measured by 10 items adapted from Sandhu and Asrabadi’s (1994) Acculturative Stress Scale. The measure comprises 5-point rating scales, where 1 stands for strongly disagree, and 5 stands for strongly agree. An example item is “Racial discrimination exists in Hong Kong.",NA,NA,Group,General
1407,1,ic,cq,Contact quantity,"White interracial contact is a measure of the respondent’s level of interaction with white people during his or her adult life over five social settings: (1) college, (2) present neighborhood, (3) grocery store, (4) place for medical care, and (5) present workplace, if employed. Responses include 1(“all Blacks”), 2 (“mostly Blacks”), 3 (“about half Black”), 4 (“mostly White”), and 5 (“almost all white”). I recoded these items to 1 (all Black or mostly Black contexts), 2 (half Black environments), and 3 (mostly White or almost all White contexts). I constructed a white interracial contact scale by summing the standardized values of the individual items and computing the average score over the non-missing items for each respondent.",Indirectly,No,NA,NA
1407,1,pi,pd,Personal discrimination,"I distinguish between major lifetime discrimination—discriminatory experiences that can undermine economic as well as social advancement—and day-to-day discrimination that undermines the worth of the individual but does not interfere with social mobility (Williams et al. 1997). Major discrimination  includes nine items assessing if the individual has ever:  (1) been unfairly fired, (2) been unfairly not hired, (3) been unfairly denied a promotion, (4) been unfairly treated or abused by the police, (5) been unfairly discouraged from continuing his or her education by a teacher or advisor, (6) been unfairly prevented from moving into a neighborhood, (7) had neighbors that made life difficult, (8) been unfairly denied a loan, or (9) received bad service from a repairman.   Everyday discrimination is measured with items asking the respondent if he or she has ever: (1) been treated with less courtesy than others, (2) been treated with less respect than others, (3) received poorer restaurant service than others, (4) had people act like you are not smart, (5)  had people act afraid of you, (6) had people act like you are dishonest, (7) had people act better than you, (8) been called names or insulted, (9) been threatened or harassed, or (10) been followed in stores. Response options include 0 (“never”), 1 (“less than once a year”), 2 (“a few times a year”), 3 (“a few times a month”), 4(“at least once a week”), and 5 (“almost everyday”).",NA,NA,Personal,Specific
1407,2,ic,cq,Contact quantity,"White interracial contact is a measure of the respondent’s level of interaction with white people during his or her adult life over five social settings: (1) college, (2) present neighborhood, (3) grocery store, (4) place for medical care, and (5) present workplace, if employed. Responses include 1(“all Blacks”), 2 (“mostly Blacks”), 3 (“about half Black”), 4 (“mostly White”), and 5 (“almost all white”). I recoded these items to 1 (all Black or mostly Black contexts), 2 (half Black environments), and 3 (mostly White or almost all White contexts). I constructed a white interracial contact scale by summing the standardized values of the individual items and computing the average score over the non-missing items for each respondent.",Indirectly,No,NA,NA
1407,2,pi,pd,Personal discrimination,"I distinguish between major lifetime discrimination—discriminatory experiences that can undermine economic as well as social advancement—and day-to-day discrimination that undermines the worth of the individual but does not interfere with social mobility (Williams et al. 1997). Major discrimination  includes nine items assessing if the individual has ever:  (1) been unfairly fired, (2) been unfairly not hired, (3) been unfairly denied a promotion, (4) been unfairly treated or abused by the police, (5) been unfairly discouraged from continuing his or her education by a teacher or advisor, (6) been unfairly prevented from moving into a neighborhood, (7) had neighbors that made life difficult, (8) been unfairly denied a loan, or (9) received bad service from a repairman.",NA,NA,Personal,Specific
1411,1,ic,cq,Contact quantity,"Quantity of contact was measured by three variables with answers ranging from 1 = never to 6 = several times a day. The first variable was, ‘‘In the past year, how often did you have contact with Christians (Muslims) as neighbors?’’ Two other variables were the same, except that they referred to the frequency of interreligious contact with classmates and people living in the same house or dormitory building. Exploratory factor analysis yielded a one-factor structure; the variables were therefore averaged to form a reliable index (Christians: a = .72; Muslims: a = .79). Higher values indicate more frequent interreligious contact.",Directly,No,NA,NA
1411,1,ic,pc,Contact quality / Positive contact,"Quality of contact was measured by sixteen items using five-point ordinal scales. The items referred to four aspects of the quality of contact, namely: goodness, closeness, equality, and cooperativeness (Allport 1954; Pettigrew and Tropp 2006). For example, the four variables for interreligious contact with neighbors were: ‘‘How would you rate your contact with Christians (Muslims) as neighbors?’’ on a scale ranging from 1 = very negative to 5 = very positive; ‘‘How close are you to your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = not close at all to 5 = very close; ‘‘How equal would you say you are to your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = not equal at all to 5 = very equal; and ‘‘How much do you cooperate with your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = do not cooperate at all to 5 = cooperate a lot. As in the case of quantity of contact, the questions were repeated for other types of contact (i.e., friends, classmates, dorm mates). Factor analysis with an oblimin rotation indicated a three-factor structure: goodness, closeness/cooperativeness, and equality. However, because the factors were highly correlated (.59\r\.76), they were averaged to form a reliable index (Christians a = .93; Muslims a = .97). Higher scores indicate higher quality of interreligious contact.",Directly,Yes,NA,NA
1411,1,pi,gd,Group discrimination,"Perceived discrimination was measured by 17 items adapted from Fox (2000a, 2000b) that refer to different types of discrimination, namely, economic (i.e., labor market), political (i.e., freedom of expression), cultural (i.e., celebration of group ceremonies), and religious (i.e., building places of worship) (see Appendix A). The factor analysis indicated a onefactor structure; we therefore averaged the variables to form a reliable index ranging from 1 = totally disagree to 5 = totally agree (Christians a = .96; Muslimsa = .93). A higher score indicates stronger perceived discrimination. Christian respondents generally perceived significantly more group discrimination (M = 2.32, SD = .81) than Muslim respondents (M = 2.23, SD = .64), t(979) = 2.10, p\.05, Cohen’s d = .12 indicating a small effect size.",NA,NA,Group,Specific
1412,1,ic,cq,Contact quantity,"The independent variable – intergroup contact – was measured by a single item: ‘How many of those you talk to on a regular basis are Danes?’ This item has four response categories –‘all of them’, ‘the vast majority’, ‘about half of them’, ‘a few’ and ‘none’ (plus a ‘don’t know’ category). This measure was subsequently treated as a metric variable and rescaled to vary from 0 to 1, higher values indicating greater contact intensity (‘don’t know’ responses were excluded from the empirical analyses).",Directly,No,NA,NA
1412,1,pi,pd,Personal discrimination,"Ourkeymoderator– perceivedpersonaldiscrimination – wasmeasured by four items with the following introductory text: ‘Within the last half year, how often have you felt being discriminated against in Denmark because of your 1892 J. P. F. THOMSEN AND A. RAFIQI ethnicbackground…’Followingthestemofthequestion,fourdomainswere speciﬁed in turn: ‘by the police, in public transportation, in the street, or in your bank’. The response categories were ‘very often’, ‘often’, ‘now and then’, ‘rarely’, and‘never’ (plus refusals that were excluded from the analysis). Factor analysis (with principal axis factoring as extraction method) of these four items together with the indicators of prejudice showed that they loadedon asinglefactor distinctivelydifferent fromthe otherone (measuring prejudice). In an unrotated solution, factor loadings ranged between 0.510 and 0.754, with an eigenvalue=2.535. Subsequently, an index of perceived personal discrimination was formed out of these four items by averaging responses, conditional upon valid responses to at least two items. The reliability of the index was satisfactory (Cronbach’s alpha=0.791). The index of perceived personal discrimination was subsequently rescaled to vary from 0 to 1, higher values indicating greater levels of discrimination (M= 0.103; SD=0.171).",NA,NA,Personal,Specific
1494,3,ic,cf,Cross-group friendship,"I use three measures of interracial contact. Friendship contact measures the proportion of the respondent’s friendship network that are racial out-group members. The variable is measured on a 3-point scale ranging from all same-race friends, coded as 1, to half or more different-race friends, coded as 3.",Indirectly,No,NA,NA
