id,sample,country,region,continent,ingroup,outgroup,study_setting,study_sample,age,study_design,study_intention,cultural_distance_to_usa,political_distance_to_usa,political_participation_distance_to_usa,group_membership_distance_to_usa,publication_status
3054,11,"Argentina,Australia,Austria,Bahamas,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,El Salvador,Estonia,Ethiopia,France,Germany,Greece,Hungary,Iceland,India,Iran,Israel,Italy,Japan,Kosovo,Kyrgyzstan,Liechtenstein,Mexico,Moldova,Monaco,Montenegro,Netherlands,New Zealand,Nicaragua,Norway,Peru,Poland,Portugal,Russia,Rwanda,Serbia,Slovakia,South Africa,Spain,Suriname,Sweden,Switzerland,Taiwan,Thailand,Turkey,UK,Ukraine,United Arab Emirates,USA",Mixed,Mixed,Sexual and Gender Minorities,Cis-Heterosexuals,Sexuality,"convenience sample, non-students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,"0.0722195922138506,0.032507235520865,NA,NA,0.0659403665304273,NA,NA,NA,0.0698204356383095,0.0249903699091967,0.0800639752673544,0.170316011212987,0.1121588419115,NA,NA,NA,NA,0.125269305599528,0.140520264154255,0.0835579524630415,0.0789551316831658,NA,0.108363490338012,NA,0.0868712357751859,0.149245387945745,NA,0.0617256435632142,0.118450743052923,NA,0.136988390656723,NA,0.0752247712872093,0.104459193423475,NA,NA,0.0822372379688003,0.0541673331886272,NA,0.120088348955552,0.09573698526183,0.0790668206288022,NA,0.0919652266190042,0.164235999063952,NA,NA,0.0775239756055437,0.0782036728387198,NA,0.108898943947004,0.0636546745734697,0.104485799117913,0.139297404513815,0.127044425847128,0.0557371621858993,0.0854309706855056,NA,0","0.0689400648957619,0.0320968182314205,NA,NA,0.070188633376178,NA,NA,NA,0.0684949153160588,0.0261478632783305,0.0777284371171846,0.133714176449106,0.117675152321069,NA,NA,NA,NA,0.103604861600355,0.141976646286893,0.0685529867572972,0.0664975463522096,NA,0.116515956170258,NA,0.0911749932496509,0.150958172149511,NA,0.0553297298740493,0.10521407481229,NA,0.160462801575633,NA,0.0761214852908371,0.10862909894001,NA,NA,0.0514121415927126,0.0543208653781205,NA,0.110608527022266,0.093080703105032,0.0780406297501256,NA,0.100085749598954,0.159527627306881,NA,NA,0.0786389668446095,0.0687634198308578,NA,0.0967717099864005,0.0646386470974525,0.104752412735761,0.138177404902773,0.115332198375567,0.0549427156231625,0.0887797623186037,NA,0","0.234895327279662,0.0182345391561595,NA,NA,NA,NA,NA,NA,0.10232750847432,0.00503791012665487,0.320950847505054,0.396302163398596,0.225536106077977,NA,NA,NA,NA,0.384782281147465,0.270569119390869,0.0409397862693129,0.0629091140634312,NA,0.861396929301448,NA,0.13938190485367,NA,NA,0.0424087774135186,0.129341803798928,NA,0.69955127022353,NA,0.280416390609245,0.585396051648069,NA,NA,0.0603390568121052,0.0424378544921463,NA,0.0170131267761095,0.229188776501613,0.244216603608822,NA,0.438665692101446,0.361619566325667,NA,NA,0.242407668227345,0.180384219869615,NA,0.0548547269505727,0.0155588103416636,0.457142214788289,0.475324887531057,0.332638505186188,0.0154687741524952,0.492240464356304,NA,0","0.0592007398979936,0.0210511788882604,NA,NA,0.123117734658668,NA,NA,NA,0.0673127544968248,0.0257082208054689,0.0619713718631271,0.0893438071946623,0.0903289574808383,NA,NA,NA,NA,0.0951364579069012,0.100551945555497,0.0558593216898047,0.0218813762372545,NA,0.0524175852444736,NA,0.121441974203517,0.246619097988981,NA,0.0270415582362963,0.0549969502217425,NA,0.167667861696261,NA,0.0589065045843685,0.117588131104496,NA,NA,0.0341913174333371,0.0648045909947234,NA,0.0735337063833623,0.0809841041380413,0.0552141782215148,NA,0.0993774119573062,0.151538798002949,NA,NA,0.0650781400376889,0.0412969750491968,NA,0.060907567791121,0.0438921110380529,0.0938014162186633,0.078749472623834,0.135395755156231,0.0351843431994042,0.0825106708978714,NA,0",published
3060,1,USA,North America,North America,African Americans,White Americans,Slavery,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,published
3134,1,Germany,Europe & Central Asia,Europe,Immigrant-origin Muslims,Native Germans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545,published
3134,2,Netherlands,Europe & Central Asia,Europe,Immigrant-origin Muslims,Dutch natives,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0.0822372379688003,0.0514121415927126,0.0603390568121052,0.0341913174333371,published
3134,3,Sweden,Europe & Central Asia,Europe,Immigrant-origin Muslims,Swedish natives,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0.108898943947004,0.0967717099864005,0.0548547269505727,0.060907567791121,published
3196,1,Italy,Europe & Central Asia,Europe,Immigrant-origin Muslims,Italian natives,Long-term migration,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",Yes,0.0617256435632142,0.0553297298740493,0.0424087774135186,0.0270415582362963,published
3201,1,Palestine,Middle East & North Africa,Asia,Palestinians,Israelis,Colonization,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.151907552087852,0.167894558800582,0.387506744354521,0.376579119903141,published
3205,1,Romania,Europe & Central Asia,Europe,Roma,Romanians,Other,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.109972291329285,0.116332451382237,0.410037908968058,0.0757349534652357,published
4000,1,Germany,Europe & Central Asia,Europe,Syrian refugees,Germans,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545,published
4001,1,Mexico,Latin America & Caribbean,South America,Mexicans,Americans,Other,"convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",No,0.0752247712872093,0.0761214852908371,0.280416390609245,0.0589065045843685,published
4002,1,Belgium,Europe & Central Asia,Europe,Turkish‐ and Moroccan‐origin minority students,Belgians,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,"NA","NA","NA","NA",published
4003,1,USA,North America,North America,Black Americans,White Americans,Slavery,"convenience sample, non-students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
4004,1,Bulgaria,Europe & Central Asia,Europe,Roma,Ethnic Bulgarians,Other,"convenience sample, non-students (no random sampling)","Adolescents
(13 - 18 years),Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,0.107764764715509,0.111983631611126,0.710591107400579,0.094454065596257,published
4005,1,Israel,Middle East & North Africa,Asia,Ethiopian Jews,Non-Ethiopians,Long-term migration,"convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",Yes,"NA","NA","NA","NA",published
