coder,id,var,text,name,outgroup,ic_quality
Coder 2,1658,pc,"Contact quality was assessed in two ways. First, those respondents who reported some degree of contact with the specified group were asked about the friendliness of contact with that group across the three social spaces; specifically, ‘‘when you interact with [whites/blacks/ immigrants from Mexico/immigrants from India] [at work/around your home or in your neighborhood/at restaurants, stores, and malls], does the contact with them generally feel . . . ’’ with responses ranging from –2 (very unfriendly) to 12 (very friendly). Responses to these items were averaged to create a composite measure of contact friendliness across social spaces for respondents from each group in relation to each of the other groups. Internal consistency for these composite measures was evaluated using the congeneric confirmatory factor analysis–based model of scale reliability (Graham 2006; Raykov 1997).4 Specifically, scale reliability was calculated using coefficient omega (v) with a 95 percent bias-corrected bootstrap (BC) confidence interval (Raykov 1997). 5 Estimates of reliability (v) for the contact friendliness measures ranged between .50 and .62 among whites, .51 and .62 among blacks, .72 and .76 among Mexicans, and .52 and .66 among Indians.",Contact quality / Positive contact,White Americans,Yes
Coder 1,1695,cf,"Contact was measured using the following item: “Roughly how many hours (if any) have you spent with friends from each of the following groups in the last week?” Participants entered an open-ended number in response to the question for each of five ethnic groups: Americans, NZ Europeans, Māori, Asians, and Pacific Islanders. For this analysis, outgroup contact for Māori was operationalized as hours spent with NZ European friends and ingroup contact as hours spent with Māori friends.",Cross-group friendship,White New Zealanders,Yes
Coder 2,1695,cf,"Contact was measured using the following item: “Roughly how many hours (if any) have you spent with friends from each of the following groups in the last week?” Participants entered an open-ended number in response to the question for each of five ethnic groups: Americans, NZ Europeans, Māori, Asians, and Pacific Islanders. For this analysis, outgroup contact for Māori was operationalized as hours spent with NZ European friends and ingroup contact as hours spent with Māori friends.",Cross-group friendship,White New Zealanders,Yes
Coder 1,1743,cf,"Friendships with whites To assess contact with White friends at Time 1 (WF1) and Time 2 (WF2), participants were asked to indicate in a single item how many of their closest friends at UCLA were Caucasian, on a scale from 1 (‘None’) to 5 (‘All’).",Cross-group friendship,White Americans,Yes
Coder 2,1743,cf,"Friendships with whites To assess contact with White friends at Time 1 (WF1) and Time 2 (WF2), participants were asked to indicate in a single item how many of their closest friends at UCLA were Caucasian, on a scale from 1 (‘None’) to 5 (‘All’).",Cross-group friendship,White Americans,Yes
Coder 1,1762,oc,"A significant main effect for the between-groups fac- tor indicated that those who had lived in the North all their lives perceived less discrimination than those who had lived outside of the community, F(I, 174) = 5.18. p < .05. q' = .03. ... A significant interaction efkct revealed that individuals who worked in their homes (M = 4.08) perceived less group discrimination than individuals who worked outside their homes full time or part time (M = 4.52). F( I, 170) = 3.93, p < .05, q2 = .02.",Opportunity for contact,White Canadians,No
Coder 2,1762,oc,"A significant main effect for the between-groups fac- tor indicated that those who had lived in the North all their lives perceived less discrimination than those who had lived outside of the community, F(I, 174) = 5.18. p < .05. q' = .03. ... A significant interaction efkct revealed that individuals who worked in their homes (M = 4.08) perceived less group discrimination than individuals who worked outside their homes full time or part time (M = 4.52). F( I, 170) = 3.93, p < .05, q2 = .02.",Opportunity for contact,White Canadians,No
Coder 1,1807,cq,"Social integration was measured by the frequency of contacts with Dutch natives. We constructed a mean variable of the following two questions: ‘How often do you have contacts with autochthonous friends and acquaintances?’ and ‘How often do you have contacts with autochthonous neighbours?’ (1 = ‘Less than once a year’,5= ‘Every day’). Respondents who answered ‘not applicable’ were treated as having no contact with natives. The correlation between the items was positive (Pearson’s r = .449).",Contact quantity,Dutch natives,No
Coder 2,1807,cq,"Social integration was measured by the frequency of contacts with Dutch natives. We constructed a mean variable of the following two questions: ‘How often do you have contacts with autochthonous friends and acquaintances?’ and ‘How often do you have contacts with autochthonous neighbours?’ (1 = ‘Less than once a year’,5= ‘Every day’). Respondents who answered ‘not applicable’ were treated as having no contact with natives. The correlation between the items was positive (Pearson’s r = .449).",Contact quantity,Dutch natives,No
Coder 1,1850,cq,"How OFTEN do you have social contacts with the following? (1 = never, 5 = very often) a. local nationals",Contact quantity,Russians,No
Coder 2,1850,cq,"How OFTEN do you have social contacts with the following? (1 = never, 5 = very often) a. local nationals",Contact quantity,Russians,No
Coder 1,1850,pc,"How SATISFIED are you with your social contacts with the following? (1 = very unsatisfied, 5 = very satisfied) a. local nationals",Contact quality / Positive contact,Russians,Yes
Coder 2,1850,pc,"How SATISFIED are you with your social contacts with the following? (1 = very unsatisfied, 5 = very satisfied) a. local nationals",Contact quality / Positive contact,Russians,Yes
Coder 1,1891,cf,Campus friendships of different religion and different ancestry,Cross-group friendship,White Americans,No
Coder 2,1891,cf,Campus friendships of different religion and different ancestry,Cross-group friendship,White Americans,No
Coder 1,19,cq,"The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79",Contact quantity,Native Singaporeans,No
Coder 2,19,cq,"The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79",Contact quantity,Native Singaporeans,No
Coder 1,1914,ic,"recuencia de contacto con extranjeros y locales: Sobre la base de las propuestas de Ward y colaboradores (2001) se dise ñó una encuesta para evaluar la frecuencia de contacto de los estudiantes migrantes con otras personas de su país de ori gen, con otros extranjeros y con miembros de la cultu ra huésped. Se preguntaba sobre la cantidad de amigos de su país, extranjeros (no de su país) y argentinos en una escala de 1 (ninguno) a 5 (muchos). Si el encuestado pasaba el tiempo libre con personas de su país, extranjeros o argentinos en una escala de 1 (nunca) a 5 (siempre), tanto dentro como fuera del ámbito donde realizaba sus estudios. Finalmente, se preguntaba acerca de la frecuencia de contacto total con miembros del país de origen, otros extranjeros y argen tinos. Se calculó la media de los cuatro segmen tos de preguntas y así se obtuvieron tres puntuaciones: (1) frecuencia de contacto con per sonas del mismo país ( = .86); (2) frecuencia de contacto con extranjeros ( = .85) y (3) fre cuencia de contacto con argentinos ( = .88).",Intergroup contact (other),Locals,No
Coder 2,1914,ic,"recuencia de contacto con extranjeros y locales: Sobre la base de las propuestas de Ward y colaboradores (2001) se dise ñó una encuesta para evaluar la frecuencia de contacto de los estudiantes migrantes con otras personas de su país de ori gen, con otros extranjeros y con miembros de la cultu ra huésped. Se preguntaba sobre la cantidad de amigos de su país, extranjeros (no de su país) y argentinos en una escala de 1 (ninguno) a 5 (muchos). Si el encuestado pasaba el tiempo libre con personas de su país, extranjeros o argentinos en una escala de 1 (nunca) a 5 (siempre), tanto dentro como fuera del ámbito donde realizaba sus estudios. Finalmente, se preguntaba acerca de la frecuencia de contacto total con miembros del país de origen, otros extranjeros y argen tinos. Se calculó la media de los cuatro segmen tos de preguntas y así se obtuvieron tres puntuaciones: (1) frecuencia de contacto con per sonas del mismo país ( = .86); (2) frecuencia de contacto con extranjeros ( = .85) y (3) fre cuencia de contacto con argentinos ( = .88).",Intergroup contact (other),Locals,No
Coder 1,1949,pc,"Two items were used to assess the frequency of positive and negative intergroup contact the participants experienced (Barlow et al., 2012; “On average, how frequently do you have positive/good contact with Germans?” and",Contact quality / Positive contact,Germans,Yes
Coder 2,1949,pc,"Two items were used to assess the frequency of positive and negative intergroup contact the participants experienced (Barlow et al., 2012; “On average, how frequently do you have positive/good contact with Germans?” and",Contact quality / Positive contact,Germans,Yes
Coder 1,1966,cf,"Best friend is immigrant (reversed) At the best friend level, participants reported whether they had an inter- or intraethnic best friend, i.e., a native German/Israeli, or ethnic German/Russian Jewish immigrant. At this level, therefore, FH was represented by having an ethnic German or Russian Jew as best friend, respectively.",Best friend is immigrant (reversed),Germans,No
Coder 2,1966,cf,"Best friend is immigrant (reversed) At the best friend level, participants reported whether they had an inter- or intraethnic best friend, i.e., a native German/Israeli, or ethnic German/Russian Jewish immigrant. At this level, therefore, FH was represented by having an ethnic German or Russian Jew as best friend, respectively.",Best friend is immigrant (reversed),Germans,Yes
Coder 1,1966,cf,"Best friend is immigrant (reversed) At the best friend level, participants reported whether they had an inter- or intraethnic best friend, i.e., a native German/Israeli, or ethnic German/Russian Jewish immigrant. At this level, therefore, FH was represented by having an ethnic German or Russian Jew as best friend, respectively.",Best friend is immigrant (reversed),Israeli Jews,No
Coder 2,1966,cf,"Best friend is immigrant (reversed) At the best friend level, participants reported whether they had an inter- or intraethnic best friend, i.e., a native German/Israeli, or ethnic German/Russian Jewish immigrant. At this level, therefore, FH was represented by having an ethnic German or Russian Jew as best friend, respectively.",Best friend is immigrant (reversed),Israeli Jews,Yes
Coder 1,1966,cf,"Clique consists mainly of immigrants (reversed) On the clique level, participants rated whether the clique was fully interethnic, i.e., comprised solely of native Germans/Israelis, whether the clique was mixed (immigrants and nonimmigrants), or whether it was fully intraethnic.",Clique consists mainly of immigrants (reversed),Germans,No
Coder 2,1966,cf,"Clique consists mainly of immigrants (reversed) On the clique level, participants rated whether the clique was fully interethnic, i.e., comprised solely of native Germans/Israelis, whether the clique was mixed (immigrants and nonimmigrants), or whether it was fully intraethnic.",Clique consists mainly of immigrants (reversed),Germans,No
Coder 1,1966,cf,"Clique consists mainly of immigrants (reversed) On the clique level, participants rated whether the clique was fully interethnic, i.e., comprised solely of native Germans/Israelis, whether the clique was mixed (immigrants and nonimmigrants), or whether it was fully intraethnic.",Clique consists mainly of immigrants (reversed),Israeli Jews,No
Coder 2,1966,cf,"Clique consists mainly of immigrants (reversed) On the clique level, participants rated whether the clique was fully interethnic, i.e., comprised solely of native Germans/Israelis, whether the clique was mixed (immigrants and nonimmigrants), or whether it was fully intraethnic.",Clique consists mainly of immigrants (reversed),Israeli Jews,No
Coder 1,1966,cf,"Proportion of intraethnic friends in network For more distant friendships, participants reported the number of friends that were native Germans (Israelis) or ethnic Germans (Russian Jews). On average, participants reported a rather large number of more distant friendships (mean = 28 in Germany and 34 in Israel; median = 20 for Germany and 21 for Israel), which indicated that the friends mentioned in this question included an extended peer network. FH in more distant friendships was represented by the ratio of intraethnic friends among all friends in both immigrant groups (calculated by dividing the number of intraethnic friends by the total number of intra- and interethnic friends).",Cross-group friendship,Germans,Yes
Coder 2,1966,cf,"Proportion of intraethnic friends in network For more distant friendships, participants reported the number of friends that were native Germans (Israelis) or ethnic Germans (Russian Jews). On average, participants reported a rather large number of more distant friendships (mean = 28 in Germany and 34 in Israel; median = 20 for Germany and 21 for Israel), which indicated that the friends mentioned in this question included an extended peer network. FH in more distant friendships was represented by the ratio of intraethnic friends among all friends in both immigrant groups (calculated by dividing the number of intraethnic friends by the total number of intra- and interethnic friends).",Cross-group friendship,Germans,Yes
Coder 1,1966,cf,"Proportion of intraethnic friends in network For more distant friendships, participants reported the number of friends that were native Germans (Israelis) or ethnic Germans (Russian Jews). On average, participants reported a rather large number of more distant friendships (mean = 28 in Germany and 34 in Israel; median = 20 for Germany and 21 for Israel), which indicated that the friends mentioned in this question included an extended peer network. FH in more distant friendships was represented by the ratio of intraethnic friends among all friends in both immigrant groups (calculated by dividing the number of intraethnic friends by the total number of intra- and interethnic friends).",Cross-group friendship,Israeli Jews,No
Coder 2,1966,cf,"Proportion of intraethnic friends in network For more distant friendships, participants reported the number of friends that were native Germans (Israelis) or ethnic Germans (Russian Jews). On average, participants reported a rather large number of more distant friendships (mean = 28 in Germany and 34 in Israel; median = 20 for Germany and 21 for Israel), which indicated that the friends mentioned in this question included an extended peer network. FH in more distant friendships was represented by the ratio of intraethnic friends among all friends in both immigrant groups (calculated by dividing the number of intraethnic friends by the total number of intra- and interethnic friends).",Cross-group friendship,Israeli Jews,No
Coder 1,1993,cq,"Participants were asked to rate on a 5-point scale (endpoints: never/very often) the quantity of contact with Singaporeans and fellow co-nationals in 13 different areas. These included various recreational and religious activities, sports, and discussions of political or academic issues.",Contact quantity,Singaporeans,No
Coder 2,1993,cq,"Participants were asked to rate on a 5-point scale (endpoints: never/very often) the quantity of contact with Singaporeans and fellow co-nationals in 13 different areas. These included various recreational and religious activities, sports, and discussions of political or academic issues.",Contact quantity,Singaporeans,No
Coder 2,1993,pc,"The quality of contact was assessed by asking participants to rate on a 5-point scale (endpoints: not at all/very), how satis®ed they were with their relationships with both parties. A high score on either dimension (quantity or quality) indicates more contact or a better relationship with the host or co-nationals.",Contact quality / Positive contact,Singaporeans,No
Coder 1,1993,pc,"The quality of contact was assessed by asking participants to rate on a 5-point scale (endpoints: not at all/very), how satis®ed they were with their relationships with both parties. A high score on either dimension (quantity or quality) indicates more contact or a better relationship with the host or co-nationals.",Contact quality / Positive contact,Singaporeans,Yes
Coder 1,2001,oc,"Our primary explanatory variable was percent of households with persons who are African American (hereafter “percent black”). The selection of additional neighborhoodlevel census variables for consideration was guided by previous research on health-related outcomes and/or perceived discrimination (Diez Roux 2001; Robert and Reither 2004; Williams, Neighbors, and Jackson 2003), as well as by associations observed between these variables and neighborhood composition (Table 1). ...  Women were divided into equally spaced categories based on their neighborhood’s racial composition (percent black): <20, 20–39, 40–59, 60–79, and ≥80.18",Opportunity for contact,White Americans,No
Coder 2,2001,oc,"Our primary explanatory variable was percent of households with persons who are African American (hereafter “percent black”). The selection of additional neighborhoodlevel census variables for consideration was guided by previous research on health-related outcomes and/or perceived discrimination (Diez Roux 2001; Robert and Reither 2004; Williams, Neighbors, and Jackson 2003), as well as by associations observed between these variables and neighborhood composition (Table 1). ...  Women were divided into equally spaced categories based on their neighborhood’s racial composition (percent black): <20, 20–39, 40–59, 60–79, and ≥80.18",Opportunity for contact,White Americans,No
Coder 1,2023,cf,"Friendship measurements. To assess cross-ethnic friendship quantity, students were asked to think about their friends that they hang out with regularly. The first question involved two open-ended items that assessed participants’ approximate number of friends from the same and different ethnic groups (“How many friends do you have from your own ethnic group?’ and “How many friends do you have from a different ethnic group?”). A composite variable of cross-ethnic friendship quantity was obtained by computing the ratio of  cross-ethnic friendship numbers to the total number of friendships.   Cross-ethnic friendship quality was assessed as a second friendship measure. Research suggest from childhood into adolescence, individuals increasingly spend more time with friends within their peer group and form close friendships (Berndt, 1998; Eccles et al.,  2006) and psychological closeness is a key feature of peer friendship and acceptance (Parker & Asher, 1993). Cross-ethnic friendship quality was therefore assessed by a second question where the participants were asked to think about their three best cross-ethnic friends. For each friend, students were asked to rate the frequency of interaction (“How much do you interact with this friend?”) ranging from 1 (not very frequently) to 5 (very frequently) and closeness (“How close do you feel to this friend?”) ranging from 1 (not very close) to 5 (extremely close). A composite variable of friendship quality was then computed by combining the mean interaction and closeness for three best cross-ethnic friends (See Appendix B).",Cross-group friendship,British Whites,No
Coder 2,2023,cf,"Friendship measurements. To assess cross-ethnic friendship quantity, students were asked to think about their friends that they hang out with regularly. The first question involved two open-ended items that assessed participants’ approximate number of friends from the same and different ethnic groups (“How many friends do you have from your own ethnic group?’ and “How many friends do you have from a different ethnic group?”). A composite variable of cross-ethnic friendship quantity was obtained by computing the ratio of  cross-ethnic friendship numbers to the total number of friendships.   Cross-ethnic friendship quality was assessed as a second friendship measure. Research suggest from childhood into adolescence, individuals increasingly spend more time with friends within their peer group and form close friendships (Berndt, 1998; Eccles et al.,  2006) and psychological closeness is a key feature of peer friendship and acceptance (Parker & Asher, 1993). Cross-ethnic friendship quality was therefore assessed by a second question where the participants were asked to think about their three best cross-ethnic friends. For each friend, students were asked to rate the frequency of interaction (“How much do you interact with this friend?”) ranging from 1 (not very frequently) to 5 (very frequently) and closeness (“How close do you feel to this friend?”) ranging from 1 (not very close) to 5 (extremely close). A composite variable of friendship quality was then computed by combining the mean interaction and closeness for three best cross-ethnic friends (See Appendix B).",Cross-group friendship,British Whites,No
Coder 1,2023,cf,"Friendship measurements. To assess cross-ethnic friendship quantity, students were asked to think about their friends that they hang out with regularly. The first question involved two open-ended items that assessed participants’ approximate number of friends from the same and different ethnic groups (“How many friends do you have from your own ethnic group?’ and “How many friends do you have from a different ethnic group?”). A composite variable of cross-ethnic friendship quantity was obtained by computing the ratio of cross-ethnic friendship numbers to the total number of friendships.   Cross-ethnic friendship quality was assessed as a second friendship measure. Research suggest from childhood into adolescence, individuals increasingly spend more time with friends within their peer group and form close friendships (Berndt, 1998; Eccles et al., 2006) and psychological closeness is a key feature of peer friendship and acceptance (Parker & Asher, 1993). Cross-ethnic friendship quality was therefore assessed by a second question where the participants were asked to think about their three best cross-ethnic friends. For each friend, students were asked to rate the frequency of interaction (“How much do you  interact with this friend?”) ranging from 1 (not very frequently) to 5 (very frequently) and closeness (“How close do you feel to this friend?”) ranging from 1 (not very close) to 5 (extremely close). A composite variable of friendship quality was then computed by combining the mean interaction and closeness for three best cross-ethnic friends (See Appendix B).",Cross-group friendship,White British people,No
Coder 2,2023,cf,"Friendship measurements. To assess cross-ethnic friendship quantity, students were asked to think about their friends that they hang out with regularly. The first question involved two open-ended items that assessed participants’ approximate number of friends from the same and different ethnic groups (“How many friends do you have from your own ethnic group?’ and “How many friends do you have from a different ethnic group?”). A composite variable of cross-ethnic friendship quantity was obtained by computing the ratio of cross-ethnic friendship numbers to the total number of friendships.   Cross-ethnic friendship quality was assessed as a second friendship measure. Research suggest from childhood into adolescence, individuals increasingly spend more time with friends within their peer group and form close friendships (Berndt, 1998; Eccles et al., 2006) and psychological closeness is a key feature of peer friendship and acceptance (Parker & Asher, 1993). Cross-ethnic friendship quality was therefore assessed by a second question where the participants were asked to think about their three best cross-ethnic friends. For each friend, students were asked to rate the frequency of interaction (“How much do you  interact with this friend?”) ranging from 1 (not very frequently) to 5 (very frequently) and closeness (“How close do you feel to this friend?”) ranging from 1 (not very close) to 5 (extremely close). A composite variable of friendship quality was then computed by combining the mean interaction and closeness for three best cross-ethnic friends (See Appendix B).",Cross-group friendship,White British people,No
Coder 1,2033,ic,"Next, participants in all conditions except the no-interaction condition were invited to participate in an ostensibly unrelated study on “Friendship Formation” run by a different research assistant (Experimenter 2), in a labouratory down the hall. ... Following the fast friends exercise, participants were seated at separate tables and began completing a questionnaire containing a variety of filler items. At this point, Experimenter 1 (the research assistant from the “first” study) arrived and indicated to Experimenter 2 that he had forgotten to administer one of his questionnaires and asked if he could administer it to the participants now. This “forgotten” questionnaire contained the measures of willingness to engage in collective action and perceptions of injustice. Upon receiving her questionnaire from Experimenter 1, the confederate made one of four comments loud enough for the participant to hear. The content of these comments introduced the experimental manipulation of supportiveness. ... Ambiguous. “Oh, right, the immigration article.”",Intergroup contact (other),Native Canadians,Yes
Coder 2,2033,ic,"Next, participants in all conditions except the no-interaction condition were invited to participate in an ostensibly unrelated study on “Friendship Formation” run by a different research assistant (Experimenter 2), in a labouratory down the hall. ... Following the fast friends exercise, participants were seated at separate tables and began completing a questionnaire containing a variety of filler items. At this point, Experimenter 1 (the research assistant from the “first” study) arrived and indicated to Experimenter 2 that he had forgotten to administer one of his questionnaires and asked if he could administer it to the participants now. This “forgotten” questionnaire contained the measures of willingness to engage in collective action and perceptions of injustice. Upon receiving her questionnaire from Experimenter 1, the confederate made one of four comments loud enough for the participant to hear. The content of these comments introduced the experimental manipulation of supportiveness. ... Ambiguous. “Oh, right, the immigration article.”",Intergroup contact (other),Native Canadians,Yes
Coder 1,2075,pc,"The second piece of the experimental manipulation was introduced during the “getting to know each other” period. In the three contact conditions (legitimacy, illegitimacy, and ambiguity), the confederate indicated that she was from UBC and explained that she was participating in the experiment because she had to take some of her psychology courses at SFU because they fill so quickly at UBC and she could not get in. She added that everybody wants to take courses at UBC, because UBC is perceived to be the “better” school. In the ambiguity condition, the confederate did not say anymore about UBC or SFU. In the legitimacy condition, she added, but to be honest I think it is true that a lot of things, like the faculty at UBC are better than at SFU, and UBC probably deserves its higher status. So, I think it’s fair that UBC has some advantages compared to SFU. In the illegitimacy condition, she added, and to be honest I do not think it is true that a lot of things, like the faculty at UBC are better than at SFU, and UBC does not deserves its higher status. So, I think it’s unfair that UBC has some advantages compared to SFU. In the control condition, the confederate was wearing the SFU T-shirt and explained that she was a 2nd year SFU student, but could not get into one of her required courses, so she thought she would try psychology. She also commented about courses filling really quick at SFU and how she had to be flexible.",Contact quality / Positive contact,Students from a higher-status university,Yes
Coder 2,2075,pc,"The second piece of the experimental manipulation was introduced during the “getting to know each other” period. In the three contact conditions (legitimacy, illegitimacy, and ambiguity), the confederate indicated that she was from UBC and explained that she was participating in the experiment because she had to take some of her psychology courses at SFU because they fill so quickly at UBC and she could not get in. She added that everybody wants to take courses at UBC, because UBC is perceived to be the “better” school. In the ambiguity condition, the confederate did not say anymore about UBC or SFU. In the legitimacy condition, she added, but to be honest I think it is true that a lot of things, like the faculty at UBC are better than at SFU, and UBC probably deserves its higher status. So, I think it’s fair that UBC has some advantages compared to SFU. In the illegitimacy condition, she added, and to be honest I do not think it is true that a lot of things, like the faculty at UBC are better than at SFU, and UBC does not deserves its higher status. So, I think it’s unfair that UBC has some advantages compared to SFU. In the control condition, the confederate was wearing the SFU T-shirt and explained that she was a 2nd year SFU student, but could not get into one of her required courses, so she thought she would try psychology. She also commented about courses filling really quick at SFU and how she had to be flexible.",Contact quality / Positive contact,Students from a higher-status university,Yes
Coder 1,2257,ic,"Intergroup contact was measured by two items that assessed the frequency of contact (“How frequently do you interact with your non‐disabled friends?”) and the amount of self‐disclosure with nondisabled people (“How much do you self‐disclose to your non‐disabled friends?”), as time spent and self‐disclosure have been shown as two important indicators of intergroup contact and cross‐group friendships (Davies, Tropp, Aron, Pettigrew, & Wright, 2011). The response scale ranged from 1 (never) to 5 (all the time). The two items formed a reliable scale (r = 0.55, p < 0.001)",Intergroup contact (other),Non-disabled people,No
Coder 2,2257,ic,"Intergroup contact was measured by two items that assessed the frequency of contact (“How frequently do you interact with your non‐disabled friends?”) and the amount of self‐disclosure with nondisabled people (“How much do you self‐disclose to your non‐disabled friends?”), as time spent and self‐disclosure have been shown as two important indicators of intergroup contact and cross‐group friendships (Davies, Tropp, Aron, Pettigrew, & Wright, 2011). The response scale ranged from 1 (never) to 5 (all the time). The two items formed a reliable scale (r = 0.55, p < 0.001)",Intergroup contact (other),Non-disabled people,Yes
Coder 1,2309,pc,"Participants completed 69 items assessing the frequency and intensity of a wide range of interactions with White Americans (see Hayward et al., 2017). Positive contact examples include pleasant, comfortable, friendly, welcoming, and intimate interactions, and becoming friends with a White American person. Negative examples include uncomfortable, awkward, unfriendly, cold, discriminatory, tense, and abusive interactions, and being threatened or rejected by a White American person. For each form of contact, participants were asked whether they had experienced this kind of interaction with Whites at least once before (0 = no, 1 = yes). If the participant responded yes, two follow-up questions assessed (a) how frequently they had experienced this kind of interaction with Whites in the past (1 = extremely rarely, 7 = extremely frequently), and (b) how intensely positive or negative, on average, they found these kinds of interactions with Whites to be (for all 37 positive contact items: 1 = not at all positive, 7 = extremely positive; for all 32 negative items: 1 = not at all negative, 7 = extremely negative). Mean frequency and mean intensity scores were created for each participant, based only on those types of interactions that they reported experiencing at least once. This procedure helps to account for the fact that some people may experience only a few types of interactions but experience them very frequently.  Mean scores were calculated separately for the positive and negative contact items; participants who reported experiencing no contact at all were given a mean frequency score of 0 (to indicate never). Combined frequency x intensity scoreswere then created as per Voci and Hewstone (2003), such that the range of participants’ positive contact scores and negative contact scores ranged from 0 to 49. The full contact measure and further information about how the scales were created are provided in Appendix S1. The vast majority of positive contact items were rated as highly positive (with mean positivity scores above 6 on a 7-point scale), with an overall mean of 6.04. The negative contact items were somewhat more variable in their intensity, yet all negative contact means except for one (competitive interaction)were above the mid-point for negativity, with an overall mean of 5.04. In line with previous research (Barlow et al., 2012; Graf et al., 2014), positive contact (M = 4.72) was, on average, more frequent than negative contact (M = 2.63)",Contact quality / Positive contact,White Americans,Yes
Coder 2,2309,pc,"Participants completed 69 items assessing the frequency and intensity of a wide range of interactions with White Americans (see Hayward et al., 2017). Positive contact examples include pleasant, comfortable, friendly, welcoming, and intimate interactions, and becoming friends with a White American person. Negative examples include uncomfortable, awkward, unfriendly, cold, discriminatory, tense, and abusive interactions, and being threatened or rejected by a White American person. For each form of contact, participants were asked whether they had experienced this kind of interaction with Whites at least once before (0 = no, 1 = yes). If the participant responded yes, two follow-up questions assessed (a) how frequently they had experienced this kind of interaction with Whites in the past (1 = extremely rarely, 7 = extremely frequently), and (b) how intensely positive or negative, on average, they found these kinds of interactions with Whites to be (for all 37 positive contact items: 1 = not at all positive, 7 = extremely positive; for all 32 negative items: 1 = not at all negative, 7 = extremely negative). Mean frequency and mean intensity scores were created for each participant, based only on those types of interactions that they reported experiencing at least once. This procedure helps to account for the fact that some people may experience only a few types of interactions but experience them very frequently.  Mean scores were calculated separately for the positive and negative contact items; participants who reported experiencing no contact at all were given a mean frequency score of 0 (to indicate never). Combined frequency x intensity scoreswere then created as per Voci and Hewstone (2003), such that the range of participants’ positive contact scores and negative contact scores ranged from 0 to 49. The full contact measure and further information about how the scales were created are provided in Appendix S1. The vast majority of positive contact items were rated as highly positive (with mean positivity scores above 6 on a 7-point scale), with an overall mean of 6.04. The negative contact items were somewhat more variable in their intensity, yet all negative contact means except for one (competitive interaction)were above the mid-point for negativity, with an overall mean of 5.04. In line with previous research (Barlow et al., 2012; Graf et al., 2014), positive contact (M = 4.72) was, on average, more frequent than negative contact (M = 2.63)",Contact quality / Positive contact,White Americans,Yes
Coder 1,2309,pc,same as sample 1,Contact quality / Positive contact,White Americans,Yes
Coder 2,2309,pc,same as sample 1,Contact quality / Positive contact,White Americans,Yes
Coder 1,2333,oc,"The present study synthesized both of these efforts, employing a dichotomous  variable that separated students based on their pre-college racial environment. As  described earlier, just over half of the students in the final sample came from pre-college  racial environments that were predominantly white (PWEs) while the remaining came  from pre-college environments that were predominantly minority (PMEs). Students’  responses to questions about the racial composition of their high schools and  neighborhoods were used to categorize them into one group or the other, These two  measures had a highly significant positive inter-correlation (r=.61, pc.001) and they  represented consistent racial contexts for students, making them an ideal pair of measures to pool together. The peer group racial composition measure was not used in creating  these subgroups, as it was employed as a control measure in the regression models  instead. The response scale for these racial composition variables ranged from “all or  mostly white” to “all or mostly students of color” (i.e., students of color were defined as  African American, Asian American, Native American, or Latino). Students who responded that both their high school and neighborhood where they  grew up were all or mostly all white were assigned to the predominantly white (PWEs)  group. Conversely, students who responded that both their high school and neighborhood  were all or mostly all students of color were assigned to the predominantly minority  (PMEs) group. All other students were placed in this latter group (PMEs) as well since at  least one of their responses placed them in a predominantly minority environment. This  also allowed for similar sample sizes for each group.",Opportunity for contact,White Americans,No
Coder 2,2333,oc,"The present study synthesized both of these efforts, employing a dichotomous  variable that separated students based on their pre-college racial environment. As  described earlier, just over half of the students in the final sample came from pre-college  racial environments that were predominantly white (PWEs) while the remaining came  from pre-college environments that were predominantly minority (PMEs). Students’  responses to questions about the racial composition of their high schools and  neighborhoods were used to categorize them into one group or the other, These two  measures had a highly significant positive inter-correlation (r=.61, pc.001) and they  represented consistent racial contexts for students, making them an ideal pair of measures to pool together. The peer group racial composition measure was not used in creating  these subgroups, as it was employed as a control measure in the regression models  instead. The response scale for these racial composition variables ranged from “all or  mostly white” to “all or mostly students of color” (i.e., students of color were defined as  African American, Asian American, Native American, or Latino). Students who responded that both their high school and neighborhood where they  grew up were all or mostly all white were assigned to the predominantly white (PWEs)  group. Conversely, students who responded that both their high school and neighborhood  were all or mostly all students of color were assigned to the predominantly minority  (PMEs) group. All other students were placed in this latter group (PMEs) as well since at  least one of their responses placed them in a predominantly minority environment. This  also allowed for similar sample sizes for each group.",Opportunity for contact,White Americans,No
Coder 2,2341,pc,"At T2, a ﬁve-item scale was used to tap the pleasantness of respondents’ contact experiences with colleagues/students, neighbours, close friends, employers/teachers, and authorities belonging to the national majority group. The respondents evaluated their contact experiences on a ﬁve-point scale ranging from 1=very unpleasant to 5=very pleasant",Contact quality / Positive contact,Finnish natives,No
Coder 1,2341,pc,"At T2, a ﬁve-item scale was used to tap the pleasantness of respondents’ contact experiences with colleagues/students, neighbours, close friends, employers/teachers, and authorities belonging to the national majority group. The respondents evaluated their contact experiences on a ﬁve-point scale ranging from 1=very unpleasant to 5=very pleasant",Contact quality / Positive contact,Finnish natives,Yes
