coder,id,sample,q4,q5,q6,q7,q8,q8_4_text,q9,q9_6_text,q10
Coder 2,1576,1,USA,Chinese Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1614,1,Turkey,Kurds,Turks,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1614,1,Turkey,Kurds in Turkey,Turks,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,1658,1,USA,Black Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1658,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1658,2,USA,Mexican immigrants,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1658,2,USA,Hispanic immgrants,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1658,3,USA,Indian immigrants,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1658,3,USA,Indian immgrants,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1695,1,New Zealand,Māori,NZ Europeans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1695,1,New Zealand,Maori New Zealanders,White New Zealanders,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1712,1,Cyprus,Turkish Cypriots in Northern Cyprus,Greek Cypriots in Northern Cyprus,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, longitudinal",NA,Yes
Coder 2,1712,1,Cyprus,Turkish Cypriots,Greek Cypriots,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, longitudinal",NA,Yes
Coder 1,1743,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 2,1743,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 1,1743,2,USA,Latino Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 2,1743,2,USA,Latino Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 1,1743,3,USA,Asian Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 2,1743,3,USA,Asian Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 1,1750,1,USA,Turkish international students,US Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1750,1,USA,Turkish international students,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1762,1,Canada,Inuit,English-speaking Canadians,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,1762,1,Canada,Inuit Canadians,White Canadians,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,1807,1,Netherlands,"Refugees from Afghanistan, Iran, Iraq and Somalia",Dutch natives,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1807,1,NA,"Refugees from Afghanistan, Iran, Iraq and Somalia in the Netherlands",Dutch natives,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1850,1,Russia,Immigrants,Russians,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1850,1,Russia,Immigrants in Russia,Native Russian,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1891,1,USA,Arab and Muslim American students,People of different ancestry and religion,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1891,1,USA,Arab and Muslim Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1914,1,Argentina,Foreign students,Locals,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1914,1,Argentina,International students in Argentina,Argentine natives,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1934,1,USA,African American adolescents,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1934,1,USA,African Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1934,2,USA,Caribbean Black adolescents,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,1934,2,USA,Caribbean Black Americans,White Americans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1949,1,Germany,Refugees,Germans,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1949,1,Germany,Refugees in Germany,Native Germans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,1950,1,USA,Black Americans,People of a different race,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1950,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1950,2,USA,Hispanic Americans,People of a different race,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,1950,2,USA,Hispanic Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 1,1966,1,Germany,Ethnic German immigrants from the former Soviet Union,Germans,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1966,1,NA,Ethnic Germans from the Soviet Union in Germany,Native Germans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1966,2,Israel,Russian Jewish immigrants,Israelis,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1966,2,Israel,Russian Jews emigrated to Israel,Israeli Jews,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,1993,1,Singapore,Chinese sojourners,Singaporeans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,1993,1,NA,Chinese migrants workers in Singapore,Native Singaporeans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,2001,1,USA,Black American women,People of a different race,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,2001,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,2023,1,UK,South Asian students,People from a different ethnic group,"Children
(≤ 12 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,2023,1,UK,South Asians in Britain,British Whites,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,2023,2,UK,Black students,People from a different ethnic group,"Children
(≤ 12 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,2023,2,UK,Black Britsh people,White British people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,2033,1,Canada,First-generation Canadians,Native Canadians,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 2,2033,1,Canada,First-generation university students,Non-first-generation university students,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 1,2075,1,Canada,SFU students,UBC students,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 2,2075,1,NA,Students from a lower-status university,Students from a higher-status university,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,experimental (random assignment),NA,Yes
Coder 1,2257,1,Turkey,Disabled people,Non-disable people,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,2257,1,Turkmenistan,Disabled people,Non-disabled people,NA,"convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,2295,1,USA,"African American, Multiracial, Latino, Asian American students",People from different ethnic groups,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,2295,1,USA,"African American, Multiracial, Latino, Asian Americans",White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,2309,1,USA,Black Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,2309,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,2309,2,USA,Hispanic Americans,Black Americans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,2309,2,USA,Hispanic Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,2333,1,USA,Non-White Americans,White Americans,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, longitudinal",NA,Yes
Coder 2,2333,1,USA,Ethnic minorities,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,2341,1,Finland,Ethnic re-migrants from Russia,Finish nationals,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,2341,1,NA,Re-migrants from Russia to Finland,Finnish natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, longitudinal",NA,No
Coder 1,2375,1,USA,Latino Americans,Anglo-White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,2375,1,USA,Latino Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,3000,1,China,Mainland Chinese students,Local students,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,3000,1,China,Mainland Chinese students,Hong Kong natives,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3005,1,Norway,Immigrant university students,Native Norwegians,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,3005,1,Norway,Kurdish university students in Norway,Norwegian natives,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3047,1,Russia,Labor migrants from Kyrgyzstan,Russians,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,3047,1,Russia,Kyrgyz migrant workers in Russia,Russian natives,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3047,2,Russia,Labor migrants from Tajikistan,Russians,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,3047,2,Russia,Tajik migrant workers,Russian natives,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3047,3,Russia,Labor migrants from Uzbekistan,Russians,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,3047,3,Russia,Uzbek migrant workers,Russian natives,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3050,1,China,International university students,Local students,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,3050,1,China,International students in Hong Kong,Hong Kong natives,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3051,1,Denmark,Non-Western immigrants,Danes,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,3051,1,Denmark,Non-western migrants in Denmark,Danish natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,3060,1,USA,African Americans,Americans who were not African Americans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,3060,1,USA,African Americans,White Americans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3134,1,Germany,Immigrant-origin Muslims,German people,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,3134,1,Germany,Immigrant-origin muslims in Germany,Native Germans,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,3134,2,Netherlands,Immigrant-origin Muslims,Dutch people,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,3134,2,Netherlands,Immigrant-origin muslim adolescents in the Netherlands,Dutch natives,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,3134,3,Sweden,Immigrant-origin Muslims,Swedish people,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 2,3134,3,Sweden,Immigrant-origin adolescents in Sweden,Swedish natives,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,3196,1,Italy,Immigrant high school students,Italians,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,3196,1,Italy,Immigrant-origin muslims in Italy,Italian natives,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,3201,1,Palestine,Palestinians in the West Bank,Israelis,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,3201,1,Palestine,Palestinians,Israelis,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,3205,1,Romania,Roma,Romanians,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
Coder 2,3205,1,Romania,Roma in Romania,Romanian natives,"Adults
(≥ 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,Yes
